# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143303380]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
22000	-4501.002769998926	-123.49716292698177	-4377.505607071944	38.4164136775279	292.24976578726086	169.3327739587035	38.999569239417404	41.38889650268535	30.718574924965495	1.0	1.0	6.0	5.0	7.0	9.406654505469982	0.5483798204163941	0.5288385968245617	1.9227815827590455	7.128827206803109E-4	-1234.404510501647	-1198.9060861814355	-1944.1950103888614	-94.76891543367665
23000	-4501.3171893588515	-123.77420393308039	-4377.542985425771	39.44227052203019	344.99413974153	200.49097058974357	60.983110129988624	39.06924845340695	20.394335409348294	1.0	1.0	7.0	5.0	6.0	7.896880761901261	0.7141219668011043	0.42048861483113786	1.865389418367759	6.779026090974255E-4	-1236.3670656823842	-1196.3211317268415	-1944.8547880165454	-94.89600574862617
24000	-4500.351356860856	-127.69947876252738	-4372.651878098329	42.15829165736959	225.3866328588741	140.09803087167515	59.35078388329562	25.150226578452372	13.37678140276848	1.0	2.0	2.0	9.0	6.0	8.24263108711874	0.5958953333119794	0.5387152483202629	1.865389418367759	5.58846556803154E-4	-1237.0629590214542	-1195.8181996092706	-1939.7707194676038	-100.50299183634857
25000	-4494.395029697504	-119.44604793975878	-4374.948981757745	27.836305485132126	341.6743447575367	37.871539993245996	67.10003793176294	32.420482616752714	35.91462004625832	1.0	4.0	1.0	6.0	8.0	8.831912268726242	0.49665410783963204	0.6619479217056761	1.8413979704546932	8.2948885115935E-4	-1237.3793461473513	-1189.0379602386138	-1948.53167537178	-90.80722225603334
26000	-4483.90530292682	-113.36622128330752	-4370.539081643512	24.82611249007636	191.71863941605315	44.45245031875744	51.89425799711278	37.40029776159389	39.39344119693253	1.0	5.0	2.0	7.0	5.0	7.591075605896154	0.5529239422090918	0.5484339755613017	1.8986420822296082	0.0011293811626057657	-1232.9574448409444	-1191.277268058668	-1946.3043687438999	-86.28861563746544
27000	-4489.4938667676515	-112.41807002274477	-4377.075796744907	28.36998417986491	153.07487401228465	37.171659194972804	20.11104309866294	26.480570942095135	10.452791278345703	4.0	5.0	4.0	6.0	1.0	8.683832451261674	0.5529239422090918	0.5484339755613017	1.8986420822296082	9.299047609999637E-4	-1238.3117312070567	-1195.622530323772	-1943.1415352140782	-87.80620863563853
28000	-4486.3247571263455	-110.92904958635694	-4375.3957075399885	28.964221776437796	72.46624680013875	23.718717361507412	20.903795128957164	16.942383400566577	8.245801045939807	4.0	8.0	2.0	4.0	2.0	7.83385764730809	0.6279057595220707	0.5484339755613017	1.8236602649166291	9.886000756283752E-4	-1235.8228428861046	-1195.577541828223	-1943.9953228256613	-88.76252157503839
29000	-4494.503488587665	-112.92887381043529	-4381.57461477723	23.794664012845782	122.23059841889517	12.19733065616417	10.410355332658074	29.726309950331867	7.743072183552765	5.0	7.0	4.0	2.0	2.0	6.370858607442014	0.7080009363285135	0.5525100271380755	1.7394890365334126	9.257699204932348E-4	-1236.0118647070071	-1196.654233256674	-1948.9085168135489	-89.16005142531723
30000	-4485.003971018572	-111.27954428013331	-4373.7244267384385	26.85125931811555	130.49522695033235	33.47255379215133	12.988455580035717	16.582953895519733	7.221109762881275	4.0	8.0	2.0	3.0	3.0	7.979744570711017	0.7188299775918083	0.5110935331600756	1.7700764892481173	9.540226312668102E-4	-1235.7719619763288	-1194.9534785972405	-1942.998986164869	-88.22006609009327
31000	-4485.505410183518	-109.38010652575127	-4376.125303657766	26.645418233169522	219.75328801653757	47.15179607948574	13.871406876207553	9.234946974399968	14.84863329284569	1.0	6.0	9.0	3.0	1.0	8.556510884307626	0.5020376238971075	0.6197483636139354	1.8782140124889584	0.0010385472282052346	-1235.4576852422167	-1194.3600531953057	-1946.3075652202442	-84.9598248407963
