# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153531102]
state	age(HONGKONG_538_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
42000	7.958395749122286	-4684.897065560196	-317.91668871543504	-4366.980376844761	14.047965670992337	340.6852984454979	45.178268898343916	7.413182384910063	10.364304834678167	3.484456617514728	2.0	1.0	1.0	9.0	7.0	8.229463973539463	0.7018068736799976	0.6014391706650031	1.696753955654999	0.002148461817568711	-1232.9710281393802	-1191.8828066862925	-1942.1265420190882	-63.70531019317832
43000	8.201886911889133	-4693.501841389352	-323.8977042079012	-4369.604137181451	13.735580106780592	225.17229997107216	199.9804991151761	43.46598068601227	14.765919101259096	7.001887007215296	1.0	1.0	3.0	8.0	7.0	8.417851143605509	0.6829155622386051	0.6314443736420469	1.6856400641193479	0.002441777389329719	-1234.0598510792227	-1192.5976750810628	-1942.9466110211652	-66.99321062377741
44000	8.011715673181678	-4680.319866925966	-314.8436436033247	-4365.476223322642	15.483986788254121	280.6144608245976	26.777223787229115	20.846056796314627	12.764037835362338	2.0727695147797203	1.0	2.0	3.0	8.0	6.0	10.619427264099286	0.5345572857105043	0.6314983499677304	1.833944364321765	0.002206519160782942	-1234.915695175724	-1195.5343299995807	-1935.026198147337	-60.42852334587022
45000	8.203753969096985	-4684.033682153023	-317.45421381645156	-4366.579468336571	13.157656722843193	284.88928158063504	123.57145844966561	15.971577474040938	16.372405283724312	1.5120944230920044	1.0	1.0	3.0	9.0	6.0	9.102098777154817	0.5855150954636119	0.5932639928857759	1.8212209116506115	0.002443123825795923	-1236.171370664929	-1193.8247887213397	-1936.583308950302	-61.61931571167261
46000	8.222693120737775	-4674.434317451932	-303.4201398740481	-4371.014177577884	13.085146339306542	138.82544586985	2.138983605613093	4.724410059565886	5.734677421394866	1.9966113830999437	1.0	2.0	3.0	8.0	6.0	8.928396908679488	0.6230188381886373	0.4849972902839006	1.8919838715274615	0.0025405127336613153	-1232.2376325610578	-1193.6816099047176	-1945.0949351121085	-53.26022457937691
47000	8.37657117641342	-4673.347143915396	-302.41504894538457	-4370.932094970011	12.408008240396306	169.35624969923512	7.052348242796672	2.7128383536309277	8.206113377419817	2.3014068690758616	1.0	1.0	6.0	6.0	6.0	9.379228596435713	0.6469662685149211	0.565518136923833	1.7875155945612453	0.002561856315240198	-1235.141423565697	-1193.1456914245077	-1942.6449799798065	-50.86611570675976
48000	8.053057151554551	-4675.3700896323335	-307.44853459939355	-4367.92155503294	14.45974752669384	146.14285072009932	14.625605717221488	6.618217152335376	8.5479195190151	3.689054904814125	1.0	2.0	9.0	1.0	7.0	9.36806276209955	0.6733169292275115	0.5904245377833522	1.7362585329891358	0.002796777124404219	-1235.8936400652651	-1195.1369987406815	-1936.890916226993	-55.98952791024283
49000	7.5540602663495795	-4671.435233744162	-304.1809777219191	-4367.254256022244	12.040217489919247	62.33518734552374	19.569326549723463	4.408813786180951	4.508221292994383	1.9060955254867806	3.0	2.0	8.0	1.0	6.0	11.676285324505479	0.5721035158790311	0.5502659716898305	1.8776305124311379	0.0029029947861645565	-1234.5695129223488	-1194.7424575458754	-1937.94228555402	-55.25180374628157
50000	7.758299812543017	-4674.098406181763	-302.8098388816153	-4371.288567300147	11.919137971471745	51.11017127273235	7.059576656109197	6.167983605909945	0.8668840102751801	2.2341266500755195	3.0	6.0	5.0	3.0	3.0	7.7900421962561	0.7025394577308274	0.5670612704336048	1.7303992718355672	0.0030678487640328714	-1238.162022032648	-1192.675282032124	-1940.4512632353753	-55.27004223423995
51000	7.969392036009714	-4668.345483767301	-303.0256495018647	-4365.319834265436	12.155183675498513	65.54634210409156	9.693548518805207	6.846491268853445	1.817393518963522	1.8422100661311671	1.0	4.0	7.0	3.0	5.0	7.92924472302272	0.6037128828507919	0.676823680727328	1.719463436421879	0.0028638408687596635	-1233.8660565896278	-1192.1037661619368	-1939.350011513871	-55.4051814146703
