# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153531415]
state	age(VIETNAM_3062_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
418000	1.7890577960475877	-4649.723668652781	-281.3611892697986	-4368.362479382983	8.572768074226236	51.944218129836635	6.545310690569645	2.9475851774951325	1.1469337658751597	0.6135781736876808	2.0	4.0	8.0	3.0	3.0	8.254051156020328	0.6272745768433245	0.6160996730053862	1.7566257501512945	0.00523165357159665	-1237.7069240544233	-1196.055357077148	-1934.6001982514117	-36.49438360475465
419000	2.0266642286170944	-4655.816005592926	-289.31748184338954	-4366.498523749536	8.700023346225102	66.15908121699076	11.55205110036152	1.6209450272657944	0.4594142440012419	1.1752802695194227	3.0	2.0	9.0	2.0	4.0	9.058212531320713	0.6021520151333407	0.7245683783743291	1.6732796064923356	0.005752703059901305	-1232.652312599376	-1195.8470057465954	-1937.9992054035645	-43.16254180637914
420000	1.905890355358038	-4649.082800196629	-279.3588878760156	-4369.723912320614	8.330065529620647	24.94898241249307	4.698914244703351	2.293059120720766	1.2027921686687042	0.27191664576100516	4.0	1.0	8.0	3.0	4.0	7.490764845846877	0.6301433361764992	0.5671943142496295	1.8026623495738763	0.004903436885596842	-1235.527087702802	-1196.936469508856	-1937.2603551089558	-36.66423187911821
421000	1.5422915877827146	-4647.355705038601	-285.0577050202026	-4362.298000018398	8.911965947874004	29.300000700420682	3.5957803221631504	3.529229735077821	0.8478148340112862	0.8317590363505305	2.0	3.0	8.0	4.0	3.0	8.96448656174485	0.6301433361764992	0.6060776886235072	1.7637789751999986	0.004795190423229565	-1237.1021088623559	-1193.090587875977	-1932.1053032800653	-41.14949852228716
422000	1.8974120033245967	-4655.494936648935	-287.02510135515416	-4368.469835293781	8.93159334899573	42.024446871936036	30.148204947940854	2.8744286792408826	0.8267528253669821	0.2771856823939019	1.0	4.0	9.0	2.0	4.0	9.14943936018201	0.7738175408592942	0.5511085950023287	1.675073864138382	0.005052672149395506	-1235.057188733106	-1194.2313508012157	-1939.1812957594589	-41.369032825539946
423000	1.6746900758455403	-4660.235914926595	-293.00559323559236	-4367.230321691002	9.950865997675326	14.639312187484565	7.3136781389827545	5.8156564645856665	0.7634864321891548	1.819884536690693	3.0	6.0	5.0	3.0	3.0	6.861878013598169	0.6117097337594952	0.503786127345989	1.8845041388945207	0.004309299711796212	-1234.1433532550166	-1193.0297010837053	-1940.0572673522806	-48.16354332632382
424000	1.935015454675208	-4646.322755269627	-282.38142527577867	-4363.941329993849	8.79122541672643	25.04033467816984	4.5898612647969905	0.925856986211871	0.36677412354088257	0.10627649799116758	4.0	8.0	4.0	3.0	1.0	6.861878013598169	0.6236014893285936	0.6349764938139145	1.7414220168574972	0.005082702940412797	-1230.247311934841	-1190.7680745467176	-1942.9259435122906	-42.241231571589054
425000	1.5538662626174449	-4650.626965099957	-285.13257779689934	-4365.494387303057	8.703669017133718	25.497231313442686	5.507669673620375	4.208688489004464	0.5184804849779748	0.769340547201715	3.0	1.0	9.0	1.0	6.0	9.037163033314602	0.6351936576565046	0.7123688094100067	1.652437532933494	0.004508178716506447	-1232.7951380001218	-1189.973180364068	-1942.7260689388675	-41.12195274526808
426000	1.1510752474027228	-4662.311037561407	-286.3951330330066	-4375.9159045284005	8.715951997736097	17.621045128430072	13.680853718069127	7.215990819741875	0.671821151036584	0.7475380335291288	2.0	2.0	8.0	6.0	2.0	8.41730084751914	0.5815056123972292	0.562504300419832	1.855990087182944	0.005090856507969674	-1235.9642841068887	-1196.439474285472	-1943.5121461360393	-41.5639626398739
427000	1.9040599280735373	-4658.613196313382	-281.14394705742967	-4377.4692492559525	8.346328833541346	17.398330609864907	9.037662264011459	1.393915375092936	0.6795915675053039	0.34276216790036224	4.0	2.0	9.0	4.0	1.0	10.710275660125678	0.6544497145688644	0.4863116134435035	1.8592386719876373	0.005685011196006692	-1239.4101364500013	-1193.499254300044	-1944.5598585059067	-38.988635555996375
428000	1.6890398075733566	-4656.000785617603	-288.2364987422337	-4367.764286875369	8.48277349840811	27.184481339026828	7.325308406656916	2.7578306860297555	1.0146810275871747	0.48067397098082576	1.0	3.0	11.0	1.0	4.0	9.885796183515	0.6771854387010479	0.6259495092267046	1.6968650520722526	0.0052629476669903115	-1234.1046255272995	-1190.5722899315447	-1943.0873714165248	-44.5736510734041
429000	1.3508230059050126	-4661.213703647932	-290.79549962871613	-4370.418204019215	8.854738129767533	29.63434619856761	19.482768724637364	2.7906609887645244	1.7327578206755812	0.8771251692718062	2.0	3.0	8.0	1.0	6.0	7.9022841878475685	0.6480115324343517	0.5290837343025183	1.822904733263135	0.005111612811692751	-1235.1964021073293	-1191.020645940065	-1944.201155971821	-45.21865619620607
430000	1.5596110067540678	-4662.100973057339	-295.9914639939302	-4366.109509063408	9.091872094949325	76.60840676058946	13.252006159945848	6.6246497906004	5.573290982995067	0.8899725197157956	1.0	4.0	6.0	2.0	7.0	9.48762951130022	0.6480115324343517	0.5341713430888779	1.8178171244767753	0.004474979855891177	-1233.0316386188101	-1192.3343722413329	-1940.743498203265	-46.93875727735605
431000	1.7456686755483672	-4655.8248161803995	-292.7993825213152	-4363.025433659084	9.004947826666072	28.647292859374083	7.076980243384032	3.9338120161298136	6.1323364527737185	1.3632134928065454	2.0	7.0	3.0	1.0	7.0	9.933884050680716	0.6629440928822923	0.6499018561408418	1.6871540509768708	0.004481307357615674	-1234.596645135021	-1193.5406023377548	-1934.8881861863083	-45.810695032662416
432000	1.566044736352418	-4661.32576403707	-296.3898767216532	-4364.935887315417	9.778665884784484	28.253808308580155	11.056316494392805	12.17086604969635	1.4783900029332102	0.6451584739767633	3.0	5.0	5.0	2.0	5.0	9.933884050680716	0.7078190179495614	0.4528102476272606	1.839370734423183	0.004074092158711317	-1235.1406648388754	-1196.0209945722297	-1933.7742279043116	-49.80996868171122
