# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:41 BST 2015 [seed=1430153560514]
state	age(CHICKEN_THAILAND_KANCHANABURI_CK_160_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1135000	0.42384773691481303	-4656.105726783895	-294.48518521852736	-4361.620541565368	10.128112744033414	46.484237717334594	7.992655119671938	2.448465305165077	1.8108482588903654	0.8592744357817921	2.0	7.0	4.0	1.0	6.0	10.13825712678348	0.5721122529775228	0.6645891719991655	1.7632985750233123	0.004010213226750676	-1233.1682645455862	-1192.532315374627	-1935.9199616451547	-48.9719707839046
1136000	0.576474973193791	-4661.997254244181	-293.2301085038221	-4368.7671457403585	10.274837323318266	31.358616660229693	4.4850216134263325	0.6841467482906424	1.175611125214033	1.5730321647277241	4.0	9.0	1.0	1.0	5.0	6.4752832845185555	0.6520513348359737	0.5596432597874526	1.7883054053765741	0.003627635001535604	-1232.2790385808464	-1190.9841133769633	-1945.5039937825486	-49.5777002642513
1137000	0.05066721151180653	-4677.893437308481	-297.99317292578627	-4379.900264382695	10.344647908134327	196.16066489526213	7.676093818117392	5.95836597961023	2.7762264122045917	1.0355201415577002	1.0	8.0	2.0	4.0	5.0	8.723101674263948	0.5259902094691851	0.564602413665162	1.9094073768656536	0.0037876057759647233	-1237.1699274095574	-1195.1236563059251	-1947.6066806672127	-48.5125325096814
1138000	0.3990722227020087	-4663.143788597114	-298.2838798515972	-4364.859908745517	9.825867080028745	129.96823134920353	8.938910123898847	2.5602375923075864	2.624893781737322	1.4045446492628642	1.0	9.0	2.0	1.0	7.0	9.395164474476946	0.5309678464158958	0.594975445485481	1.874056708098624	0.0034400703141942712	-1229.7859366316543	-1191.9588884998418	-1943.115083614021	-50.039508278085876
1139000	0.9426790348346539	-4669.826405737992	-300.6928310327103	-4369.133574705282	10.360650011338182	107.07543484037377	8.82207889097586	8.690917089402939	3.960464139070329	1.0400201508206854	1.0	10.0	2.0	2.0	5.0	11.282959180524971	0.5997685280608994	0.5963733209412491	1.8038581509978524	0.0038115550221449745	-1233.7259580823165	-1193.9700329534824	-1941.4375836694828	-51.16223788142293
1140000	0.6820913775926147	-4664.991414416718	-296.82616009786955	-4368.165254318848	10.33259277830608	26.05654682002234	8.789352134532146	8.960849912091156	3.382438689847842	1.2915006886668958	3.0	6.0	2.0	5.0	4.0	8.710715875680807	0.7084449367290782	0.6204985587684946	1.671056504502428	0.004010527957256056	-1233.7859843761914	-1194.8572647724868	-1939.5220051701701	-50.18143148354215
1141000	0.36756567892164504	-4667.139989839542	-302.4159257562881	-4364.724064083254	10.520329071415423	32.692037099692214	6.883598274899026	12.307614689664092	1.7194208764106749	0.9058291441474808	2.0	3.0	10.0	1.0	4.0	10.116635797188785	0.5275661882752284	0.6047035218578417	1.8677302898669308	0.0033288875815005317	-1232.1175149386916	-1192.3483907691193	-1940.2581583754434	-55.22257770801392
1142000	0.0394429266542744	-4666.628032364647	-298.64775281910875	-4367.980279545538	10.110386491847592	31.346943341270826	6.386869900156195	7.798706125068264	1.6632213381643144	2.5143366263895492	1.0	6.0	6.0	4.0	3.0	7.031686868312804	0.5755532836539397	0.6145055181492263	1.809941198196835	0.003443162866353404	-1233.853582590154	-1190.390337957948	-1943.7363589974361	-51.98182835049144
1143000	1.002042718030932	-4661.363555179217	-296.6514561676484	-4364.712099011568	9.828979587202248	25.64719996716561	9.613700598321861	4.904887317985639	0.9826371496288079	0.9652895544979839	3.0	2.0	12.0	1.0	2.0	7.812736213523651	0.5379809611959898	0.5608822706698304	1.9011367681341809	0.0035934052926120215	-1235.8025863331034	-1189.7712928736696	-1939.1382198047947	-51.94469086876952
1144000	0.4453711770415829	-4659.04559779672	-296.86832212573484	-4362.177275670985	10.136382536656297	21.261085374279705	18.71471667460868	4.3704911520300795	0.8696916299496836	1.3206379908750603	2.0	3.0	11.0	3.0	1.0	7.812736213523651	0.5307444176737994	0.6000039529254466	1.869251629400755	0.0038492539824196512	-1232.185649969277	-1191.5664385363789	-1938.4251871653291	-51.34446135551366
1145000	0.19618872452321767	-4655.136585052018	-294.31095463753445	-4360.825630414483	9.592063579202097	57.1819555604201	18.64630680585638	5.278991959136354	0.6599563224646722	0.551244711653315	1.0	2.0	10.0	2.0	5.0	9.02313346923979	0.5799606958325085	0.719996261798818	1.7000430423686745	0.0036119588350373992	-1232.5036938495	-1192.1361634683426	-1936.185773096641	-48.016885943943905
1146000	0.6157424151434148	-4667.467962250054	-301.4652658845346	-4366.00269636552	10.575183136896618	47.88844366880848	33.351477370918374	4.891233428182237	1.8655155688507514	1.413307141704185	2.0	3.0	9.0	4.0	2.0	7.777676248528177	0.6230066131116139	0.7046644799873832	1.672328906901004	0.00334126796453134	-1230.043252623393	-1189.4698319212912	-1946.4896118208358	-53.717572466487255
1147000	0.14136449592450262	-4667.443114476668	-303.8190104212427	-4363.624104055425	11.675090522353154	56.3586528790276	27.886337095321228	8.82697827803603	3.046730385673304	1.2304430257734555	2.0	2.0	7.0	5.0	4.0	8.441483136830708	0.5403211596552259	0.49544716021870483	1.964231680126071	0.003031506711261615	-1232.8775572426996	-1192.9280547169628	-1937.8184920957624	-55.1834993390867
1148000	0.6677415336262662	-4666.146629900965	-299.2160857946625	-4366.9305441063025	11.393981220746388	48.37726431592121	71.85520203093554	2.4228117039996993	2.96165463479663	1.3138399453311307	2.0	1.0	7.0	6.0	4.0	7.1124344136365005	0.49938808319668726	0.6390305499698039	1.8615813668335106	0.0034090902635478737	-1236.134304941296	-1194.6152774024522	-1936.1809617625538	-49.80729402028738
