# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153532829]
state	age(GOOSE_SHANTOU_2216_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
427000	0.5346442957917383	-4665.37740035631	-298.5920011085519	-4366.7853992477585	10.57599755005483	48.70230354029744	11.61566007917803	13.251371507185237	1.332177946883854	1.255992056773052	2.0	6.0	3.0	2.0	7.0	6.638183819900135	0.6197316640911021	0.6359686783715196	1.7442996575373755	0.004067037308830209	-1234.274043604437	-1193.5758037194612	-1938.93555192386	-50.92326518684325
428000	0.6864352313755884	-4668.553769065607	-299.5692983929175	-4368.98447067269	9.672040087259294	313.59122445645477	5.476706898686704	5.182899145503061	0.9852240889740714	1.0305338851618662	2.0	6.0	6.0	3.0	3.0	7.277271790403416	0.6035550640568905	0.6153151160356111	1.7811298199074956	0.003735616700300147	-1233.7652707031918	-1192.5978137411937	-1942.6213862283043	-50.29897171173244
429000	0.6244530918354665	-4659.152968925999	-293.49798425871205	-4365.654984667287	10.045828705418728	46.58456437876018	10.014269374874917	2.5742531491941576	1.1942857771054962	0.6330042386116469	1.0	8.0	6.0	1.0	4.0	9.8948370716666	0.580924222383266	0.6153151160356111	1.8037606615811204	0.003762277652447153	-1233.018671704299	-1191.2133261267186	-1941.422986836269	-48.37181404524325
430000	0.876518902068951	-4656.883608243364	-293.7844493491078	-4363.099158894256	9.727234533150854	85.73141549327876	8.305413628672147	5.917523055448477	1.1782226767025261	0.5240215207698423	1.0	10.0	2.0	2.0	5.0	9.167045996678036	0.642058705201282	0.5435316577057613	1.8144096370929543	0.004012074016790081	-1232.923794450206	-1192.6930720317248	-1937.482292412326	-46.89582334818085
431000	0.02015412018769902	-4668.185115511225	-297.20287627670336	-4370.982239234522	9.177732716510224	48.910012047016735	4.514997126584051	10.662298281753909	1.0907652915345136	0.7544757620658274	3.0	10.0	1.0	4.0	2.0	9.385632941893983	0.5814756050005742	0.5538084139239441	1.8647159810754794	0.0038856254774416285	-1234.8262091486117	-1189.2927346130084	-1946.8632954729019	-49.71638773812804
432000	0.012215833892589956	-4664.97418621334	-298.4318245884245	-4366.542361624915	9.57589907915709	15.837196403365958	16.231871181969353	4.547798622119389	1.726071800540501	0.8569344349090904	3.0	8.0	3.0	3.0	3.0	7.901266977183859	0.6541489886507301	0.5538084139239441	1.7920425974253233	0.004069610739255118	-1234.1443323614553	-1191.0475837849094	-1941.3504454785502	-53.55299822639594
433000	0.08606676940094582	-4665.228347034761	-299.1908551984801	-4366.037491836281	10.598115912635082	85.16779261287174	11.154927067426524	3.5716137926522857	1.7869889337046134	2.5836415371305756	1.0	8.0	1.0	7.0	3.0	6.572576571084867	0.7623915821321479	0.4635542768893688	1.7740541409784811	0.0036724065583026424	-1232.6362385884984	-1193.5311618993053	-1939.8700913484777	-51.49746571882232
434000	0.08606676940094582	-4663.149718520626	-297.63950085923966	-4365.510217661386	10.301074390011081	27.64543087897371	8.051938086139874	5.953433372249022	1.4954447093584702	2.4039674014418946	1.0	9.0	2.0	6.0	2.0	8.70335372137659	0.5760078750307407	0.6841604911117213	1.7398316338575355	0.0038615907517459756	-1233.0970188267916	-1193.4674062681702	-1938.9457925664249	-51.41670419315232
435000	0.38738469803419395	-4657.555393469711	-294.47239413762776	-4363.082999332083	9.88606992524681	53.56256279383967	8.248530481362085	3.155158864999379	1.5423016037783264	1.4216668511596957	1.0	8.0	4.0	1.0	6.0	7.859139267380666	0.5322700196863773	0.5731830304821393	1.8945469498314809	0.0038019554825323323	-1231.954926753665	-1189.7324623946065	-1941.3956101838119	-48.55104591723441
436000	0.1440631042698386	-4662.0755200860585	-294.3913508161022	-4367.684169269956	9.792963144445299	50.69224562883387	5.992361031447925	2.7419378041821663	0.8462551167601319	1.1393124869451883	2.0	7.0	4.0	4.0	3.0	8.548832501045364	0.7275569823283489	0.577487548427276	1.6949554692443725	0.004407418534297584	-1236.342969792514	-1192.1709686058296	-1939.1702308716126	-49.27256905826485
