# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561778]
state	age(DUCK_GUANGZHOU_20_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1816000	0.4718149929234674	-4661.610919729071	-298.3904825468845	-4363.220437182186	9.254683832998293	275.05679234627803	11.280386419669886	9.050895195308957	2.442041114148129	0.6332937521833608	1.0	2.0	7.0	6.0	4.0	8.14998713423253	0.5258425769886302	0.5593789533266639	1.9147784696847039	0.004287217378150243	-1232.5039373400218	-1190.657791661768	-1940.058708180396	-47.9087285772787
1817000	0.42882324171225417	-4656.996864206594	-294.46392385668844	-4362.532940349905	10.083781001514387	67.35771063423691	10.96883813606505	6.424702885323504	0.3654003517658816	0.4454544601956341	1.0	5.0	7.0	3.0	4.0	8.4809435225955	0.5332307777401585	0.4948862597205281	1.9718829625393113	0.0040087402642425655	-1233.189715340086	-1192.792081532006	-1936.5511434778136	-48.37458294313653
1818000	1.1954270219003744	-4673.824426064974	-302.90179367337555	-4370.922632391599	10.91765218428779	345.2605282683195	9.367606483578493	9.139211697156403	1.985125004332376	1.6549588489454112	1.0	3.0	9.0	2.0	5.0	11.346534665063764	0.7396508725073521	0.6048967379492929	1.6554523895433528	0.0036049930818037174	-1236.4811805343986	-1195.9645367527605	-1938.47691510444	-51.336619554466516
1819000	0.6083408208306342	-4662.161130534687	-298.9462671475435	-4363.214863387144	9.638158473135132	61.66548948509583	21.252120646480364	6.945251894645037	0.352253895332875	1.4476868556502491	1.0	2.0	11.0	1.0	5.0	7.47284691422581	0.5952225673283569	0.46476644210850193	1.940010990563139	0.003851641573528586	-1233.1884671726966	-1189.8025654666478	-1940.2238307477987	-49.64998166835556
1820000	0.7576083131939741	-4659.965213466734	-296.72683441245914	-4363.238379054274	10.449166064512019	149.19310524704932	4.970163130346877	4.09154492293051	3.053009111638692	1.0249952007536265	1.0	3.0	9.0	3.0	4.0	7.47284691422581	0.6871300627938937	0.5782998614810939	1.7345700757250104	0.0035860151159891394	-1234.3040320715552	-1190.7292859248628	-1938.2050610578563	-48.37962014233992
1821000	0.2852340226945671	-4669.633342439633	-301.87936202353035	-4367.753980416103	10.1160297900496	19.031880707715466	3.120406793941209	17.421906857065522	6.812236621819405	2.804446463612387	4.0	4.0	1.0	2.0	9.0	6.691242201192425	0.5482941068901821	0.7020236338616609	1.749682259248155	0.0034394844162286427	-1235.8713419191379	-1192.1632367523	-1939.7194017446657	-51.36354315515958
1822000	0.3494569775262448	-4663.255563259	-294.6459899074623	-4368.609573351538	10.078004484015281	21.66654387769525	3.6352095765225845	2.7990108377682636	7.403792205536057	0.8685996939204766	3.0	7.0	5.0	1.0	4.0	11.046315873633823	0.5294758048264016	0.5998114566180871	1.8707127385555091	0.004671537355121422	-1235.2385670388871	-1197.7893881577768	-1935.5816181548732	-47.81170346372014
1823000	0.036302958222224735	-4661.889227052775	-291.4115216310263	-4370.477705421748	10.110063276390786	44.70928408062122	3.018676963749145	2.7560405677061226	3.498079252315059	1.1555746553353217	3.0	1.0	6.0	3.0	7.0	7.923705303549274	0.5697341818665868	0.5803249340827027	1.8499408840507083	0.003958107941396629	-1233.4238302761119	-1192.5217111517559	-1944.5321639938807	-45.531862880469134
1824000	0.6132291716191567	-4661.182679580945	-294.4137532177471	-4366.768926363197	9.51716756828675	39.319138485594664	9.004141680507193	5.38659495684106	0.6680851745528558	0.9634740926397206	3.0	7.0	4.0	2.0	4.0	9.851722778888236	0.6267030779364172	0.4797049767017523	1.8935919453618284	0.004255534872506266	-1233.3842806519526	-1193.9803187325067	-1939.4043269787383	-48.65250958658461
1825000	0.271267404826375	-4654.975962118645	-289.01555850961194	-4365.960403609033	8.855073652886253	64.54215267048957	4.045099585374863	3.7653948023052326	1.5810241737153112	0.389325001484324	4.0	1.0	9.0	3.0	3.0	9.8175402831552	0.5716649880249108	0.5290258354690142	1.899309176506073	0.004919522560858729	-1234.87785338242	-1195.5409567002523	-1935.541593526361	-43.297151279109464
1826000	0.4279742956241841	-4651.54727083509	-280.7512767486335	-4370.795994086457	8.15675533729259	14.366873910284967	8.137802115832994	3.6080290888256656	0.8249503119332677	0.10404612121395647	4.0	6.0	4.0	3.0	3.0	8.35476481403736	0.5668154808832027	0.5843654643648426	1.8488190547519525	0.005580647731375186	-1235.9109899454236	-1193.9703294377896	-1940.9146747032432	-38.48827376419397
1827000	0.08580795488220194	-4645.176624930798	-278.163060654002	-4367.013564276796	8.32344305414158	16.79597163656563	0.9893909319931178	1.7491881665245452	0.9293654844263451	0.5049487955651958	5.0	2.0	7.0	2.0	4.0	8.646102000286442	0.6114546237759187	0.5417086049111101	1.8468367713129688	0.005515058964190891	-1236.8199144056787	-1194.0620928372539	-1936.1315570338638	-36.72844208045801
1828000	0.5718549832531574	-4666.95195833372	-287.92771115426604	-4379.024247179454	9.044195935999955	14.571335379536775	21.990697692590135	4.057146405667861	1.781087983491379	0.4021597933749548	4.0	2.0	5.0	5.0	4.0	15.25888611708068	0.7114343457473029	0.48638456675668706	1.8021810874960074	0.0049632646328907825	-1238.8865757388542	-1200.8946349468363	-1939.2430364937632	-42.15913991371233
1829000	0.5452135119984982	-4659.645340847673	-288.7308449261666	-4370.914495921506	8.45790236897012	18.556795625098093	7.5558123663283965	6.438150766612315	1.321153434576095	0.42404463386340663	3.0	3.0	8.0	5.0	1.0	7.884040229277666	0.6707478002796724	0.5379492492776998	1.791302950442625	0.005392109135220923	-1235.8231653173534	-1192.1871192727353	-1942.9042113314174	-44.61733544254469
