# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153532123]
state	age(CHICKEN_HONGKONG_915_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
422000	8.236402145733244	-4665.910692029116	-290.88630885192333	-4375.024383177192	8.558300082992137	122.78614871608038	4.617829655647347	9.522506368088509	1.6312927501586771	0.5728296417770118	2.0	5.0	2.0	6.0	5.0	8.475170889671457	0.6176088777260501	0.635381352308954	1.747009769964994	0.005237288017014961	-1239.8059478686205	-1193.8537836786377	-1941.3646516299339	-41.974628680797146
423000	8.208662894424059	-4652.403591380901	-284.8724054829354	-4367.531185897966	8.434747376936803	212.37742121518824	13.908910933348904	3.809044028980474	0.27226868089666706	0.2625546517165699	1.0	6.0	6.0	1.0	6.0	8.475170889671457	0.5734231106144818	0.5167653891473918	1.9098115002381248	0.004839232767792012	-1237.2642270086953	-1194.18681605215	-1936.0801428371203	-37.715934062307056
424000	8.208662894424059	-4660.334159716046	-285.851066416985	-4374.483093299061	8.400214878657636	36.58868478858046	13.022317338704786	1.7727666348108888	0.8350237343146941	0.17560366270656894	2.0	4.0	9.0	1.0	4.0	8.475170889671457	0.5102361281679424	0.4876391021021764	2.0021247697298796	0.00573782670121507	-1236.2229909357404	-1189.7944092933744	-1948.465693069946	-42.12365696602898
425000	8.038149254020997	-4654.359838557153	-284.73151842758983	-4369.628320129564	8.205940383157394	140.17861690791574	11.867577997455337	3.671770300872722	1.1802812223363779	0.1859747668165073	1.0	3.0	9.0	3.0	4.0	8.408805289088363	0.551241300673762	0.5391267954015382	1.9096319039246983	0.004770882087977428	-1235.7099620348	-1193.617872144063	-1940.300485950701	-37.644586914560264
426000	8.038149254020997	-4662.600872477609	-288.7758855149533	-4373.824986962656	8.22385411633295	77.66199615551577	42.45500366579879	5.868020501211844	0.42545897110116243	0.1956043423970667	1.0	1.0	11.0	5.0	2.0	12.408660196567391	0.7203011570489785	0.5891557337131128	1.6905431092379073	0.00461233342451737	-1238.0221617253073	-1196.0984163949704	-1939.7044088423786	-41.41373923070508
427000	8.038149254020997	-4657.665807659764	-286.98137748287166	-4370.684430176892	8.187359074867892	35.28667172981289	9.269578213783277	2.8371289762743044	0.8139919567307722	0.15020962519575531	3.0	2.0	5.0	6.0	4.0	8.470031255099721	0.6113955288706501	0.6375426471453373	1.7510618239840114	0.0046368841593505995	-1234.8316249533482	-1189.0783660328445	-1946.7744391906995	-43.35539388014088
428000	7.786259141201555	-4655.981935798124	-284.93281552846855	-4371.049120269656	8.257776157740333	27.04009803569581	23.580104242854244	5.832730206515264	1.3128526245350436	0.29299167795205183	4.0	1.0	6.0	5.0	4.0	10.618968527677179	0.6505351381759952	0.513575849483312	1.8358890123406915	0.00504868472588253	-1235.7377264744377	-1192.1713740443442	-1943.1400197508735	-38.9532759850809
429000	8.126281346126671	-4665.358542332945	-288.22083962213287	-4377.137702710812	9.281326342984737	15.117721751714836	11.150433267734584	3.775513970855356	0.9074882791070709	0.941973532334776	3.0	3.0	5.0	5.0	4.0	8.612759030395075	0.5833201963594655	0.5251273881152189	1.8915524155253145	0.005140142046019884	-1234.3035185072868	-1195.7083769119783	-1947.1258072915473	-44.379876090833676
430000	8.020545268751567	-4663.939882565537	-293.97282459049916	-4369.967057975038	8.735547661490664	77.99369905308922	2.8721513423450693	8.1106477771115	1.486470583616086	0.9968040841941205	3.0	2.0	7.0	6.0	2.0	6.954332482900507	0.5315242309722679	0.5852796931622127	1.8831960758655186	0.004793822792187735	-1234.6074479247293	-1192.4775007646451	-1942.8821092856635	-45.802473945458466
431000	8.020545268751567	-4654.0047533507395	-284.836557688334	-4369.168195662405	9.212414535506705	29.970034462894017	6.38597610354034	2.1112287695054914	1.620528435314066	0.5614381298651454	1.0	4.0	8.0	3.0	4.0	9.371202051959582	0.4991271457843591	0.6966800537768014	1.8041928004388388	0.005107569800185874	-1235.2648642628487	-1194.2503309021806	-1939.6530004973754	-40.7981718564294
432000	8.070749681528019	-4667.041108100788	-297.2573071398542	-4369.783800960933	9.90821025765005	49.29664298313381	15.912530684072838	6.4599635467987335	4.273344825985085	0.8498683454753881	1.0	1.0	9.0	5.0	4.0	12.501831091330043	0.5337924771473868	0.5691945724938269	1.8970129503587856	0.004426440309147843	-1236.770991101901	-1191.5915135649482	-1941.4212962940837	-49.00293605653297
433000	8.232964412368736	-4658.380880144509	-290.8670615458638	-4367.513818598645	9.018679004352988	45.67508567947476	62.6966473445008	2.2005240656156273	1.5785992082386897	0.7221852737947428	2.0	1.0	9.0	3.0	5.0	8.113003588048818	0.6056760236390291	0.5312330718220242	1.863090904538946	0.004388118519467735	-1233.626940990529	-1194.2604255362266	-1939.6264520718892	-42.90581347144799
434000	8.230562145057727	-4651.801717594789	-283.95144061140775	-4367.850276983381	8.404274764316487	22.76879748817449	7.061289511526531	3.7211389351978768	1.967327039678181	0.08531808946006679	2.0	3.0	8.0	5.0	2.0	11.402833830714583	0.6242195755016917	0.6211858862050144	1.754594538293293	0.005441749704662143	-1234.275798267452	-1193.3933104666548	-1940.1811682492744	-39.65378965050924
435000	8.230562145057727	-4653.960896293879	-288.8072733425995	-4365.153622951279	8.38058952621946	28.637080269484517	6.86873657654503	2.371082052493949	0.3200879853425664	0.3833563538731714	3.0	1.0	9.0	6.0	1.0	10.498615443033971	0.6655108354587035	0.5798946262480026	1.754594538293293	0.0050213124089774925	-1235.8252546874778	-1192.2247447156133	-1937.1036235481881	-45.919238958764126
436000	8.21550647692318	-4657.170315511634	-286.84831435658225	-4370.322001155051	8.344662603426348	53.7664304597496	1.98788418933162	4.221766210791564	0.5340977956796396	1.0922374967392963	2.0	1.0	10.0	6.0	1.0	10.73964282646914	0.5711506313751712	0.5891334046612335	1.8397159639635943	0.005341410753315536	-1238.7424013783223	-1192.8772949169995	-1938.7023048597293	-40.4141707878138
437000	8.21550647692318	-4655.465177628756	-283.6043933075214	-4371.860784321234	8.354318109286487	24.82315703469418	9.0494890951688	2.5437250938019007	0.6177984327471442	0.23209575625432444	3.0	2.0	8.0	3.0	4.0	10.661964219374681	0.6212860803435126	0.44976157213579265	1.9289523475206938	0.005866339111113164	-1233.9107819904257	-1195.4028978150814	-1942.5471045157271	-40.63670020050963
438000	8.190088690107753	-4650.777907017966	-281.5807599834445	-4369.197147034522	8.2497136500913	40.033778779724045	27.332979472531797	2.5392563172083267	0.8098850529632879	0.3673804560607236	1.0	2.0	9.0	4.0	4.0	9.359971091604134	0.6070628087182094	0.6054895329608476	1.7874476583209422	0.006010884294535192	-1237.2574860739346	-1197.8793123185148	-1934.0603486420728	-36.129044027199996
439000	8.190088690107753	-4649.890130358178	-281.9336046279382	-4367.956525730239	8.299732743949564	37.761757261695564	18.292086029135394	2.782270076153869	0.14643628766732186	0.2843074629188888	1.0	2.0	10.0	1.0	6.0	9.359971091604134	0.6316307120911643	0.6031996050592899	1.765169682849545	0.005595652968493784	-1233.9008940010333	-1195.4927594134415	-1938.5628723157645	-37.53683686239469
