# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153561734]
state	age(DUCK_HONGKONG_Y283_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
176000	7.984741893406907	-4660.186894573234	-294.40022713854404	-4365.78666743469	9.31663026071714	76.56293996478871	19.916227513040035	9.03203436529344	2.95953431490145	1.3712292370294832	1.0	2.0	2.0	8.0	7.0	7.267145625640189	0.5116034445313841	0.6558756415526198	1.8325209139159915	0.004652313059061696	-1234.9308938984384	-1192.887637402308	-1937.9681361339437	-45.700156594729094
177000	8.110988618564342	-4661.668332039029	-292.9214060371769	-4368.746926001852	9.388095447200536	19.940645276270224	11.065262507609862	5.101017842558225	2.9859359808414623	1.3347025655839215	3.0	2.0	5.0	1.0	9.0	6.900746967863124	0.5557633079946459	0.5531919235304887	1.8910447684748606	0.004551047255487118	-1233.2008738712157	-1191.5938115642036	-1943.9522405664331	-47.57032178621853
178000	8.110988618564342	-4659.176687870574	-291.7604830550948	-4367.416204815479	9.15365470584	33.66800391879745	15.715330017542282	2.4820608364036625	1.9899904201599103	1.2479232237338966	2.0	2.0	2.0	6.0	8.0	8.942228424010189	0.5618618452119721	0.5470836191856185	1.8910545356024047	0.0042910843301050315	-1232.3031247578485	-1192.0683179750922	-1943.0447620825394	-45.872675706191515
179000	8.110988618564342	-4664.790041094037	-297.779179362332	-4367.0108617317055	8.730354089684766	29.057519117090195	9.489794548144266	7.0794402922089406	5.4117009513701495	1.6141937618519624	6.0	3.0	3.0	4.0	4.0	7.328276562838279	0.6344149627038993	0.49923733843307383	1.866347698863022	0.004472284453102476	-1231.7385950121102	-1192.8760891762288	-1942.3961775433659	-50.7591042618559
180000	8.116499960531883	-4663.898337941846	-292.3733086607146	-4371.5250292811315	8.793489455141927	17.91320193509852	16.742564753486732	9.975935231304272	4.88004998191967	0.9001962446415818	2.0	1.0	5.0	5.0	7.0	8.170621811129115	0.5459568105692671	0.7578702751364377	1.6961729142942903	0.004424931828924711	-1234.750757477456	-1193.0912657987617	-1943.683006004914	-45.33575399945417
181000	8.116499960531883	-4667.244213517012	-293.3574989258985	-4373.886714591114	8.986332583886492	9.83469370966243	8.630936411731504	5.654921198138663	5.387509863918912	1.1622974617358572	2.0	2.0	2.0	7.0	7.0	9.002831792283141	0.6354563311729652	0.5991756385490455	1.7653680302779844	0.004553863870733307	-1234.4915312727621	-1194.0241852634997	-1945.3709980548517	-48.05641133079369
182000	8.116499960531883	-4669.445491351957	-298.7738590907676	-4370.671632261189	9.520593892503369	7.39854557674607	7.7615708200745335	4.68039481805031	2.9781212525295415	0.43644445338600957	5.0	7.0	1.0	5.0	2.0	7.422159976093724	0.7788848907555475	0.586721569252952	1.6343935399914957	0.003956282836577908	-1234.047111681422	-1187.561583829757	-1949.0629367500105	-55.38951695969933
183000	8.178299160188988	-4674.036279916649	-307.75835569049053	-4366.277924226159	10.882744665426427	112.61153137372321	13.68431857322338	7.79428145888834	2.488610406955509	11.776609229463796	1.0	5.0	2.0	11.0	1.0	9.40247025949533	0.6056113821297474	0.5495866941324923	1.8448019237377558	0.0039037691207567306	-1233.3397215333844	-1192.0515589582537	-1940.8866437345202	-54.48703528765539
184000	8.178299160188988	-4659.820057878877	-295.1827235552538	-4364.637334323624	9.98448821728551	19.318874136727374	6.037294253800056	2.4400229609725215	2.0502584732779274	1.0410091690487435	4.0	5.0	2.0	8.0	1.0	8.984756740354074	0.5141658232316997	0.6195411604671448	1.8662930163011509	0.003880538395860357	-1232.8955777033364	-1190.4662307039378	-1941.2755259163494	-51.333917229668096
185000	8.178299160188988	-4658.893918771304	-289.9375620694402	-4368.956356701864	10.15386506741633	19.808390735495582	2.5332178045764597	2.48140431449668	1.087101727956132	1.039924838998862	5.0	5.0	4.0	5.0	1.0	8.73312637786705	0.6500578900114719	0.5740968208989632	1.7758452890895604	0.003719305099422387	-1233.061454880246	-1195.7652938173194	-1940.1296080042982	-47.11575297464415
