# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153533173]
state	age(CHICKEN_HEBEI_326_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2250000	0.04726178292261704	-4659.205336501422	-297.6499003914168	-4361.555436110005	9.95242606018177	71.74344566632142	25.389186500495054	9.629048094285075	1.2236969064772798	1.1889577868349699	2.0	3.0	5.0	6.0	4.0	8.868112668134952	0.7138905397692338	0.6165176549600447	1.66959180527071	0.004072559269883856	-1234.7045795057475	-1191.1771962803437	-1935.6736603239135	-49.12991018126964
2251000	0.04726178292261704	-4663.133548282247	-294.9099288607985	-4368.223619421448	8.941972995141692	25.611617369925497	14.840412595368631	4.11732864570406	2.3331895704875043	1.5432630010846249	3.0	3.0	7.0	1.0	6.0	8.868112668134952	0.7344113140489698	0.5201485185548365	1.7454401673961821	0.003728632234368973	-1233.8841821135757	-1191.515575137178	-1942.8238621706946	-48.938074879977385
2252000	0.4734273054583344	-4673.05754857421	-296.9467091416535	-4376.1108394325565	9.403840002808272	9.187950497864637	21.267861154916453	9.409643795135995	4.781266205082973	1.6317398035277568	1.0	5.0	2.0	4.0	8.0	8.868112668134952	0.6327915477558055	0.47127618141049016	1.8959322708336925	0.004316044509663643	-1240.8877548865678	-1196.0331259236436	-1939.1899586223449	-49.59972205289076
2253000	0.48415787007791394	-4663.447541139965	-290.43717047710004	-4373.010370662865	8.961061323766836	73.6870717598699	18.82311474049751	4.561083855575891	1.7007028906381763	0.6452120016103048	1.0	2.0	4.0	6.0	7.0	8.313040748422122	0.4789904080499159	0.6349042225028712	1.886105369447201	0.004211042007219551	-1240.840937955928	-1193.2339521933304	-1938.9354805136072	-43.227481752154794
2254000	0.23531151393182098	-4663.69209860362	-297.60191706780085	-4366.090181535819	9.56648981607724	92.98371406632737	25.237195567302738	18.353852897805144	4.6236942401780174	1.9885485743788216	1.0	1.0	3.0	8.0	7.0	8.056380994362907	0.4932553734338591	0.6358346426226867	1.8709099839434424	0.004240461435996623	-1233.324152830033	-1193.406231310608	-1939.3597973951785	-46.84207545880738
2255000	0.21072405364495791	-4664.74161581179	-296.60369304061953	-4368.13792277117	9.883040995887615	25.459173634212874	10.364787375952243	8.364893821526548	5.195297789876633	0.471170409695939	2.0	1.0	2.0	9.0	6.0	10.370418747032579	0.6287202169863149	0.66367526945394	1.7076045135597333	0.003981595082974093	-1232.0214305342056	-1194.3650163610496	-1941.751475875915	-49.4959237173743
2256000	0.016475997401268927	-4673.918596032898	-306.55259578595104	-4367.366000246947	10.07871638037396	21.557654091079854	23.130415638265923	43.16406561299587	9.561849742960968	1.828120646250181	1.0	1.0	2.0	10.0	6.0	10.85046184197148	0.5641305761619548	0.47241725098790044	1.9634521728501326	0.004210818849799746	-1234.0393165933835	-1192.8069447046619	-1940.519738948901	-55.25269337934547
2257000	0.016475997401268927	-4665.418111575189	-302.0094801206162	-4363.408631454573	9.64876322760987	34.31820020733565	34.02436626119296	50.7561333216525	2.828901490060922	1.584046573708356	2.0	1.0	2.0	9.0	6.0	8.479326108347596	0.566412728394667	0.5203812280457503	1.9132060435595708	0.0037895985395074855	-1232.2298182856553	-1194.4464365017334	-1936.7323766671846	-50.949107700395196
2258000	0.7610386548923298	-4668.68807644116	-299.40319221842424	-4369.284884222736	9.675698225785865	110.35538214908878	45.064690223709015	9.264122040690367	6.926722084857492	0.8696101786824627	2.0	2.0	5.0	4.0	7.0	8.671569608014002	0.6864732881040914	0.47136750131868427	1.8421592105772124	0.003878671470422005	-1234.2691420726096	-1195.1493491277588	-1939.866393022368	-48.1204153681281
2259000	0.03607070441158966	-4668.201566638507	-303.56075006873374	-4364.640816569773	9.79365461104005	509.60604407584736	3.6349330063604564	7.391735022384945	3.5992560255928563	1.4676332516672106	1.0	1.0	9.0	4.0	5.0	11.231360602749097	0.6112893706979775	0.5799607361449336	1.808749893157077	0.003862498760657807	-1233.325883176356	-1189.2673755247824	-1942.0475578686344	-50.909224624323315
