# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153531149]
state	age(GOOSE_HONGKONG_W355_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
460000	7.767869044357946	-4659.083083630853	-290.3775136417232	-4368.70556998913	9.761458840107801	44.008191087483915	4.707307403804368	1.6678014400725003	1.7306383902685565	0.829198750315871	3.0	11.0	2.0	1.0	3.0	9.411730645356453	0.514499840253819	0.5533212243276059	1.932178935418573	0.004055367414497516	-1235.7226543483096	-1193.379402609218	-1939.6035130316018	-45.72111304682638
461000	8.272782615852247	-4664.923783762933	-296.2127644199687	-4368.711019342964	10.621775009759542	70.25153252686577	6.25588383830343	0.7490828992390626	2.5148968678502204	2.8561186652507895	3.0	10.0	2.0	1.0	4.0	9.615968234554789	0.6621712772684974	0.5533212243276059	1.7845074984038947	0.003968902035985958	-1237.169402757175	-1196.1996777163927	-1935.3419388693967	-48.01804549753008
462000	8.272782615852247	-4666.133465183733	-296.40123590365147	-4369.732229280082	9.748020588565854	68.22692109252876	8.195247163780566	0.9368111986282103	2.4618265156160732	0.6277176003869348	3.0	9.0	3.0	3.0	2.0	9.619219279017988	0.7052723911424122	0.67689153205053	1.6178360768070557	0.003817248632571184	-1233.4085815495853	-1193.2430291215871	-1943.080618608909	-49.37681212667677
463000	8.169661076746188	-4667.600285851108	-297.4720676637858	-4370.128218187322	11.041430067623526	29.802555890130236	10.225021173239966	2.643132193677461	1.650620735480022	1.671649804697604	4.0	6.0	3.0	5.0	2.0	6.312715565699889	0.5637244569813264	0.514576602780017	1.9216989402386542	0.003405412595903398	-1232.890602493652	-1191.349538278024	-1945.8880774156457	-52.54502736947152
464000	8.159712433523264	-4668.972449726897	-299.1889683574648	-4369.783481369433	10.084755727255907	25.696032779849126	7.231039319365163	3.9908945548634227	2.582179210965803	1.6352089454995653	4.0	4.0	3.0	7.0	2.0	12.693491519489129	0.5728453969573192	0.6220535538138772	1.8051010492288013	0.003679443355281534	-1234.527990340082	-1195.5912466593297	-1939.664244370021	-53.472061447406794
465000	7.7827352439210555	-4669.316076426384	-300.07022948683607	-4369.245846939548	10.547040814253096	36.521878642627975	2.9759649958393015	5.455396082849806	1.9218288865629138	1.6914648245526849	4.0	1.0	8.0	4.0	3.0	12.693491519489129	0.551797881055155	0.5806329474571323	1.8675691714877103	0.0037463597249883774	-1232.9616237994462	-1195.1415934141924	-1941.1426297259093	-53.48730728871968
466000	7.8994945491832524	-4658.7758340839655	-295.73676062670086	-4363.039073457265	10.976093198987211	24.674952542431452	12.571314321885074	5.765675619427151	1.7819400894370991	0.6457371754404482	4.0	1.0	6.0	2.0	7.0	9.645716004007914	0.6051972523026703	0.6041760690751037	1.7906266786222238	0.003862841164055542	-1233.1447892978467	-1194.0107066210246	-1935.8835775383932	-50.29956451401305
467000	7.8994945491832524	-4668.582004293707	-300.77282033872183	-4367.809183954985	10.389746179862325	19.795298375199042	21.480268568866865	4.9659956629251365	0.4547088663403538	0.9052971337478106	4.0	2.0	7.0	2.0	5.0	7.511447044721374	0.6423367075411766	0.5933163889664682	1.764346903492353	0.0034903241107616333	-1232.9646110356464	-1192.4633748100546	-1942.3811981092836	-55.24653247266187
468000	7.9502403430563575	-4666.505646353822	-302.3606500586052	-4364.1449962952165	10.956564261456117	85.10225409566296	82.49437726966003	4.473326012549422	1.6382165462523122	1.6118760987188296	1.0	1.0	11.0	2.0	5.0	9.017154176769045	0.6607229807529559	0.5862843116504968	1.752992707596545	0.00345783466863752	-1235.3688807289134	-1192.2951149190094	-1936.4810006472935	-52.237112449912765
469000	7.9502403430563575	-4673.408720724883	-304.3497338324748	-4369.058986892408	12.042457112459147	240.03226296051307	106.41076660149709	4.498801345468079	2.442413562400266	1.7005746684033651	1.0	2.0	7.0	5.0	5.0	6.376044157066857	0.5668943682246648	0.5610430089499157	1.8720626228254174	0.0035546878844730442	-1234.0863160640092	-1192.5210080292775	-1942.4516627991218	-52.488257931518774
470000	8.042061307447762	-4672.810415167013	-304.8211216881574	-4367.989293478856	11.061218501765786	58.58317200560791	4.6158644482183835	6.512131017595184	8.685384489084973	5.3898364581415805	2.0	1.0	9.0	1.0	7.0	8.253648135644132	0.5350859528103192	0.5969189164506068	1.8679951307390716	0.0035716348952496715	-1231.7955082071596	-1193.3771043597471	-1942.8166809119493	-55.30236004004552
471000	8.103343928086838	-4672.746275832453	-304.7618597343169	-4367.984416098136	11.621834998742822	25.37344163082699	39.39236811075609	9.234424890812557	1.9065586842124174	2.0235547473151483	1.0	1.0	8.0	1.0	9.0	9.579800615279629	0.6720173968055286	0.44036957618738837	1.8876130270070806	0.0031042135291999536	-1232.5468298131977	-1192.5848430804508	-1942.8527432044866	-56.17972454551698
472000	8.137395539416138	-4674.996874211865	-310.8117250042182	-4364.185149207648	12.196492243382721	602.0290316371182	46.17952118132086	13.089997265294357	7.115572617946129	1.7318869021490764	1.0	1.0	10.0	1.0	7.0	12.016947987793342	0.6720173968055286	0.5811757505210775	1.7468068526733918	0.0031935248765186676	-1234.2233149515719	-1194.1533457174605	-1935.8084885386152	-55.75246803557963
473000	8.172636458930235	-4677.60794533426	-308.0486186449558	-4369.559326689304	10.193087955926961	84.91405397494839	5.934263537975871	12.199578811338657	9.137081796296236	2.725993132244571	3.0	1.0	9.0	1.0	6.0	12.083018727702816	0.525098106884891	0.4962520644682104	1.9786498286468965	0.0034350526891253133	-1233.867807269184	-1195.0456057865815	-1940.6459136335384	-56.74756067998336
474000	8.172636458930235	-4669.174708271283	-304.29202740452104	-4364.882680866762	11.874362571911092	50.365939819144074	14.760595871449466	3.745692279703199	1.7854769810644122	2.7398500750615242	4.0	1.0	9.0	3.0	3.0	7.857280857728406	0.6417059371019606	0.6397638316208616	1.7185302312771757	0.0031439735988073644	-1233.6631354790466	-1193.1459521526976	-1938.073593235018	-56.98316927409934
475000	8.172636458930235	-4670.4270551334275	-305.87556655317	-4364.551488580258	12.577553650181263	30.18619620248225	6.8720281600986866	7.263602005959334	4.168515702196173	7.821780362799018	3.0	2.0	9.0	5.0	1.0	9.237031839384784	0.7527238974372361	0.523017783249652	1.7242583193131098	0.0030509180127414903	-1233.9551438808048	-1192.1988027102418	-1938.3975419892113	-57.50625093968707
476000	7.789323391728711	-4670.116699062186	-304.5115448187373	-4365.605154243449	11.655171320064143	47.41680738632202	2.773414975893054	8.118948936074538	1.4839060977879222	1.1488367989434303	1.0	1.0	11.0	5.0	2.0	11.681065343175085	0.5867436664612342	0.554952463738239	1.858303869800525	0.002693249871842323	-1233.2886969307442	-1191.9983912308887	-1940.318066081816	-56.62527679484414
477000	7.287976001916062	-4682.096711168573	-309.47407900190086	-4372.622632166673	14.629095630503002	32.90198253240723	50.583394340002556	11.336817871244811	3.2615570015724793	2.213912182738245	1.0	2.0	8.0	7.0	2.0	9.29428275154443	0.588058282132583	0.5482919218122704	1.8636497960551448	0.0028833266415634567	-1233.7980818486446	-1195.2056601413422	-1943.6188901766861	-59.73721689440446
478000	7.877600753686976	-4670.595339913206	-306.42270076406953	-4364.172639149137	13.531813514368872	31.91745589210312	11.332865316505643	7.930561634442704	2.29201448237059	1.8684168161931292	3.0	4.0	6.0	1.0	6.0	8.285390118179317	0.5600194650100241	0.4760422304394898	1.9639383045504846	0.002603439003080289	-1232.5822460668496	-1191.033593925419	-1940.556799156868	-59.636481610188426
479000	7.5708980532699055	-4678.520682078111	-308.5088664624143	-4370.011815615697	11.429548674955381	59.21943461670252	53.65006677301869	7.649765721914968	3.2627896127932954	3.3602508573230647	5.0	1.0	4.0	2.0	8.0	10.047097288084398	0.7366556222278309	0.5082481789744782	1.7550961987976892	0.003002627882483006	-1234.59136634933	-1195.1247553993671	-1940.2956938669993	-58.07590149886223
480000	7.6974789713221465	-4673.31762848569	-303.6758309901477	-4369.641797495542	11.79701037691726	32.86014690913448	7.262993802569868	8.53334802614221	5.721133838668061	1.4594047554504368	4.0	2.0	4.0	5.0	5.0	6.856885823308229	0.6169770178688909	0.5152073137639478	1.8678156683671594	0.002947755377490254	-1232.9781457551767	-1193.5603296679371	-1943.1033220724282	-56.315136672329444
481000	7.6974789713221465	-4666.146061839922	-299.5677652998174	-4366.578296540105	11.141847628228009	40.933878037419646	16.526954776551015	4.634842985823491	4.362158478994116	1.6842751788197863	1.0	2.0	7.0	6.0	4.0	10.15195383126021	0.5455225965867588	0.5464452252918512	1.9080321781213883	0.0033249596752016287	-1236.1006321978266	-1193.2228899449194	-1937.254774397359	-51.74464582851938
482000	7.740520897037744	-4667.891105631798	-301.8550378907123	-4366.036067741086	11.129496946999001	111.15982662950395	5.977714542023394	13.658623286994866	2.4178663585870352	1.2182354173898762	2.0	5.0	4.0	7.0	2.0	7.163369354043475	0.6604220671010017	0.5710001810365336	1.7685777518624632	0.002977271384069065	-1230.0278911030975	-1190.0978658115203	-1945.9103108264687	-51.90074683545685
483000	8.028695535524061	-4672.585309988877	-305.887832201313	-4366.697477787564	11.511262265136192	18.540967619908308	25.14909935650019	11.94880520477737	2.866300949017161	1.186064176974152	1.0	7.0	4.0	4.0	4.0	7.717185242866449	0.549728378342079	0.45855300577492114	1.9917186158829985	0.0032285174766438513	-1232.3969645732436	-1193.64245857393	-1940.65805464039	-58.50222842086361
484000	7.952601283512765	-4661.092010898828	-297.8167115789062	-4363.275299319922	10.245667782289047	22.244065917422194	6.323095878274521	5.348655446651416	2.4702547122821232	0.8752009632886097	5.0	6.0	1.0	1.0	7.0	11.128855444209217	0.649670221858353	0.4672879666552226	1.883041811486423	0.003651143126679236	-1233.0729951860487	-1193.1508623206917	-1937.0514418131816	-52.57284145264338
485000	7.952601283512765	-4669.729381391282	-301.3199464490974	-4368.409434942185	10.642369070854608	54.24304049855586	9.755779376893711	3.780338914972984	2.494221175036642	1.9040851533443182	3.0	7.0	2.0	1.0	7.0	10.518526338042701	0.65788340543567	0.5915002378921771	1.7506163566721513	0.0033271420041914345	-1234.2252274015543	-1194.612869535582	-1939.5713380050481	-54.209162700245926
486000	7.893479437761544	-4668.746398168623	-303.63062479713	-4365.115773371494	11.804120642414091	34.5961157920317	15.742327532803317	11.706128200180917	6.799377631280925	1.1814619293858122	1.0	5.0	1.0	7.0	6.0	8.83650681993039	0.6041864818184163	0.5987793919284653	1.797034126253117	0.0027375714124250514	-1234.4730128835054	-1191.8250142944564	-1938.8177461935325	-55.01920476811415
487000	7.950857641909661	-4670.4348731205655	-304.1245702038731	-4366.310302916692	12.133834995021163	38.679042270210694	6.818791486508544	11.060800179598088	6.583678942034103	1.516668895702405	1.0	5.0	1.0	10.0	3.0	7.281533852943517	0.5554438251089291	0.5768038396948401	1.8677523351962297	0.0028201173619503304	-1237.6821672921374	-1192.6139570627029	-1936.0141785618518	-55.73844870347469
488000	8.013190159367277	-4678.784857083263	-307.62186344211034	-4371.162993641153	13.123326343233359	97.8061477755657	24.634199032444176	5.952932222981079	2.5464680135477242	2.8697702983652014	3.0	2.0	5.0	6.0	4.0	9.40475679566128	0.5554438251089291	0.5768038396948401	1.8677523351962297	0.0028956525895018964	-1234.5762981369414	-1196.099509348024	-1940.4871861561874	-57.98518793827953
489000	7.9832539860309	-4670.421219127882	-304.74076079708567	-4365.680458330797	12.35629806792104	33.09579823272808	3.1454294602700315	8.179568151513523	4.7433883009825735	2.0418692294137957	3.0	2.0	1.0	9.0	5.0	8.037155237864845	0.6120982989506359	0.5258485901673432	1.8620531108820197	0.002914089708607502	-1236.894988239172	-1193.464568158686	-1935.3209019329383	-56.88914718660044
490000	7.748335604884638	-4670.214510738308	-301.835458949287	-4368.37905178902	11.172832715470236	25.123838774986538	13.735846913348697	3.3428672884212123	4.944285502551367	1.0139473509633656	3.0	2.0	3.0	6.0	6.0	8.729802875507795	0.6093194872518561	0.5258485901673432	1.8648319225807997	0.0033604945763267553	-1235.665092621107	-1193.266199985406	-1939.447759182507	-55.06327857362823
491000	7.89172890347553	-4668.231421604802	-300.6830102010898	-4367.548411403712	11.791759845456797	57.842165380937345	4.73105498878284	4.633043949930714	5.170288037232363	1.613047436035255	1.0	2.0	3.0	7.0	7.0	9.981266041605858	0.5901676585074622	0.54586616571675	1.8639661757757868	0.003028570527665648	-1237.4275379341564	-1191.7163116922206	-1938.4045617773347	-52.78904499426099
492000	8.007383182039302	-4669.533419641435	-302.8524186498647	-4366.681000991571	10.962505950179583	44.601165153984724	31.302406740243587	15.635157886038098	6.324326366235477	2.2399616855652296	1.0	3.0	2.0	8.0	6.0	8.058527815027928	0.7049114882725542	0.54586616571675	1.7492223460106948	0.0032016337714375303	-1234.6987205553592	-1193.8528883313236	-1938.1293921048882	-52.914045355945184
493000	8.007383182039302	-4669.814300629343	-307.0233453553795	-4362.790955273964	11.321393736863131	111.19624899889295	65.11217269067706	13.630423733741887	6.11201811890573	0.903787510895827	2.0	1.0	6.0	7.0	4.0	9.290295660002593	0.6666824735887392	0.4751651832225079	1.8581523431887519	0.0030981809561710645	-1236.7188945193839	-1195.5889664299543	-1930.4830943246254	-55.123420533068234
