# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153530562]
state	age(MALLARD_VIETNAM_16_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1305000	0.9881864281086852	-4643.556655331677	-283.96098131593465	-4359.595674015742	8.430255868453683	26.038468607216487	3.4712437537047816	1.2365110869404314	0.8299278395490528	0.6134235004612654	4.0	7.0	3.0	3.0	3.0	7.655865221434228	0.5620000014735355	0.6060434469657033	1.8319565515607579	0.005378169295824815	-1229.4778301806257	-1189.6275858437878	-1940.4902579913285	-41.97761819978421
1306000	0.6572423560406992	-4647.998180871495	-284.45206847773625	-4363.546112393758	8.318412084948843	19.54718198649272	4.371222463883429	1.644120651807723	1.4454483196862011	0.7117273674890076	4.0	9.0	3.0	1.0	3.0	11.300834835472376	0.5787235723102434	0.49192996037190856	1.929346467317845	0.005545363575746292	-1233.8897381227812	-1193.9817624583868	-1935.6746118125905	-41.5110503739228
1307000	0.975426526266028	-4648.661366568985	-284.6424970332077	-4364.018869535777	8.261990393553166	18.693945202904512	3.007159759212978	0.772307703615614	1.0057264702877655	0.23041133305303083	7.0	7.0	2.0	1.0	3.0	8.403544760397663	0.5281934316563857	0.5171001224845483	1.954706445859063	0.005445056150168567	-1232.2163663898182	-1190.4429717974533	-1941.3595313485052	-43.60158022020743
1308000	1.1519454313652262	-4648.818390043153	-277.94906019359354	-4370.86932984956	8.298982354702627	8.785070889486818	3.9641496470512956	0.841620982474065	0.2654550142074702	0.27859516307400595	10.0	3.0	4.0	2.0	1.0	12.482968639627043	0.5977218158904407	0.44504863644507914	1.9572295476644772	0.005615000988343113	-1233.0747111063715	-1192.781758756908	-1945.0128599862808	-38.91306730013459
1309000	0.8732389240317824	-4647.645991956465	-283.64548361921436	-4364.000508337251	8.324463601886729	9.635219107397667	0.9967747847729108	0.5630126997231293	0.9892634583368438	0.6911192009988654	10.0	3.0	3.0	2.0	2.0	9.978848899070073	0.6661032393124222	0.5994804295646812	1.7344163311228937	0.00495841250887383	-1229.760316807724	-1191.5017404952594	-1942.7384510342672	-44.0201399868577
1310000	0.4955876036054263	-4648.068413280322	-288.5866306362679	-4359.481782644054	8.835416706110585	9.211049083486765	3.2204206888240328	5.664338959860695	1.8585730891065189	0.20581279233464306	11.0	1.0	1.0	4.0	3.0	10.55643493597671	0.5701057056327372	0.5973081072080549	1.8325861871592048	0.005407377166721709	-1231.2550278091717	-1191.1356013009843	-1937.0911535338985	-45.45970420595081
1311000	0.8508365579443804	-4660.9907970066615	-298.27949083877894	-4362.711306167883	10.323219916194306	20.45835142062622	5.529864800096378	3.167475826232388	5.016951389047212	0.9675079545752677	5.0	4.0	1.0	5.0	5.0	8.521591511480404	0.5794082857719663	0.570786367595939	1.849805346632092	0.0045029828033213235	-1228.8830161629949	-1192.9179969157253	-1940.910293089163	-52.745838638736096
1312000	0.8508365579443804	-4656.574849466348	-295.44016824359466	-4361.134681222753	8.932615937888938	10.716576437266868	10.01542238834837	11.881454385779344	3.2736225725287977	1.0423349984644033	4.0	2.0	6.0	5.0	3.0	9.64502779454108	0.48817485424851115	0.5732195886914534	1.938605557060033	0.004853773572244438	-1231.7260697763988	-1190.1306588290001	-1939.2779526173535	-49.49181419503183
1313000	1.0046356266371097	-4657.4028177753635	-294.7754686713516	-4362.627349104012	9.319869357482913	58.08745123020092	6.493704514120821	8.002906618001882	1.164269270553709	1.2461147310879697	3.0	7.0	3.0	1.0	6.0	9.64502779454108	0.640674202767723	0.6620989673637321	1.6972268298685425	0.005095290381841153	-1230.4720346474749	-1190.5448533590052	-1941.6104610975315	-47.463905494485815
1314000	1.0622995440855578	-4648.257229702436	-289.07639843587685	-4359.18083126656	8.731617307947653	159.98959896902235	4.545190562842026	5.990309455118832	1.800525622037172	0.6437694342340021	1.0	9.0	1.0	2.0	7.0	7.593944670242804	0.6324970223905836	0.5637064756840334	1.8037965019253805	0.005226169489966837	-1231.7929876064488	-1189.9120349561204	-1937.4758087039913	-40.743556741627565
1315000	1.2194714924811567	-4656.500717594441	-290.4809037983533	-4366.019813796088	8.139810688260853	18.28810556702399	11.288623292873377	13.71020284507902	0.7854831007562587	0.39495438550291173	3.0	1.0	7.0	1.0	8.0	8.074280901129937	0.720631023108763	0.49423750048671183	1.7851314764045227	0.005532774386843066	-1233.8911494374292	-1189.616509635766	-1942.5121547228925	-45.12883960217743
1316000	0.87555993999037	-4655.233860344058	-288.86547486901105	-4366.368385475046	8.23181914812826	14.251791015046892	6.912104018094583	6.145253541857074	2.7855206531365613	1.0342105085192022	6.0	1.0	2.0	2.0	9.0	11.32257571780025	0.6936281418429423	0.4197377529499893	1.8866341052070656	0.005397507852455489	-1233.8384684713942	-1194.131638208357	-1938.3982787952953	-43.894396207064695
