# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532379]
state	age(TREESPARROW_HENAN_2_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
544000	2.033929114116943	-4680.0097284023705	-310.27625954998814	-4369.733468852382	10.984155970774816	33.632855883988086	31.38667251453371	29.084676307355338	5.921854173227266	2.6742495153611348	3.0	2.0	1.0	7.0	7.0	8.93089790508584	0.6450807194605116	0.5118995729213787	1.843019707618113	0.0028529433271393574	-1234.7429775013657	-1190.40359041384	-1944.5869009371763	-59.686913255091966
545000	1.5470010919858943	-4676.618913611689	-308.14241612102677	-4368.476497490662	11.968433288160718	273.1880701736955	27.100624032122873	7.790500215810765	7.79058167814991	2.3721121880842078	1.0	3.0	2.0	7.0	7.0	9.408066501184178	0.5604919095058021	0.4992663946178347	1.9402416958763664	0.0026258606689285855	-1234.8464052157992	-1195.7921407946624	-1937.8379514802007	-55.32547897012786
546000	1.4823595199466069	-4673.052318313378	-307.646088480353	-4365.4062298330255	13.571948543274939	322.16633091116387	19.709353544873146	7.883309060962187	2.285837266209393	3.6342075508695593	1.0	2.0	8.0	2.0	7.0	9.059979228012638	0.5455793834084782	0.6198232495077872	1.8345973670837377	0.0027746882456076657	-1234.4484323403613	-1195.2838688952866	-1935.6739285973779	-55.42000796845563
547000	2.0930281903283436	-4672.963521324409	-305.15910326417406	-4367.804418060235	12.01252181302983	54.184070800820486	39.574041041678164	2.213269028715222	4.453719640550534	4.725268212595163	1.0	1.0	11.0	4.0	3.0	9.725286212431921	0.5496648754678962	0.5787685596180602	1.8715665649140467	0.0030078694944643005	-1235.7345490857106	-1191.742911591609	-1940.3269573829148	-54.81516440816771
548000	1.429718852514914	-4679.384695927021	-311.8624734058326	-4367.522222521188	12.205529351280134	187.20632215540107	30.059803237451924	9.052761627428108	10.84992599902037	6.161437587897333	1.0	2.0	12.0	2.0	3.0	7.506050686732229	0.6354611985206116	0.6569217897461126	1.707617011733279	0.0031147177578915797	-1237.1342058302785	-1196.9900845525308	-1933.3979321383788	-58.90528676684269
549000	0.16598692759510314	-4673.214206697159	-305.5742874372495	-4367.639919259909	11.528282513075697	129.31709648557356	19.574980241245832	6.124800086262175	3.5348610315765963	4.0701570855191695	1.0	4.0	3.0	5.0	7.0	10.374696559915886	0.5680105712461989	0.5825607325173785	1.849428696236426	0.0030219913997276597	-1236.2431138431293	-1197.8876583744911	-1933.5091470422888	-55.00976741594585
550000	1.4201072373588777	-4671.805129021991	-306.8200009199305	-4364.98512810206	11.67918105982757	300.38250616271057	15.958877974152681	5.602815194040182	1.7259169826664809	1.5744175964587386	1.0	7.0	7.0	3.0	2.0	8.012968389099965	0.5245297016938693	0.48123667209066434	1.9942336262154698	0.0026028130632826997	-1234.186134258919	-1194.1115206833404	-1936.687473159801	-56.40680169226535
551000	0.595973275629949	-4675.549659565456	-305.5575782910155	-4369.99208127444	12.297365364863204	71.32793379619768	2.663236915065123	3.794933805750359	0.8334624450452581	1.4985568834543712	4.0	5.0	5.0	3.0	3.0	9.133233548265514	0.6066608825778235	0.4894642972053299	1.9038748202168505	0.002592522440986485	-1233.7813684464725	-1194.3855052679392	-1941.8252075600283	-58.941645026119176
552000	1.0935263153495196	-4683.861920793362	-305.89641144596385	-4377.9655093473975	10.735398594169288	16.373038230953497	9.904399846665372	8.936361242315522	4.927068578171422	1.1335096001761562	4.0	1.0	2.0	8.0	5.0	7.001536217690373	0.6412953018263432	0.4282716372269547	1.930433060946706	0.0031274659878763335	-1238.4582602077826	-1194.5405024746824	-1944.966746664933	-59.73405750963606
553000	0.33125766729396666	-4675.201911606482	-304.4700189439478	-4370.731892662534	13.237418265646829	68.86483806199523	21.0512217751585	5.78876437863787	3.071730241950829	1.6083998889120403	1.0	3.0	6.0	7.0	3.0	9.496746559353438	0.6526612241075163	0.7016637933457851	1.6456749825467023	0.002625558557910868	-1236.2611855160246	-1195.181339790398	-1939.2893673561114	-55.93622653172712
