# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561777]
state	age(CK_HK_WF157_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
55000	3.8614525064030794	-4697.576946138179	-323.22043058737364	-4374.356515550805	18.027958317866467	183.01620052440285	51.90585688358337	14.046498095981185	10.907996386136455	6.778960351685971	1.0	1.0	3.0	5.0	10.0	11.704810571719916	0.48107274110490655	0.5716832015731084	1.947244057321984	0.0015764650317377062	-1239.7825547301752	-1194.9232990141784	-1939.6506618064516	-69.14921232467776
56000	2.8895833071634693	-4709.997296366226	-334.12570645319835	-4375.8715899130275	21.15948019650174	156.86810276740925	120.8536676461004	74.13598935559872	11.4787658749855	6.668708268822135	1.0	2.0	4.0	8.0	5.0	8.004156041053433	0.5551356508664845	0.5354094519689384	1.909454897164576	0.0012868274353452687	-1236.8291796087267	-1197.327332104841	-1941.7150781994599	-78.0157990016813
57000	6.640642226740645	-4695.8313946111775	-329.6255327057329	-4366.205861905444	20.687581808146252	1116.1141096042181	33.01374536125632	8.169613476929472	4.836941775299038	7.290156988115326	1.0	2.0	10.0	2.0	5.0	7.7703014679671165	0.6232671938690173	0.5995094858118404	1.7772233203191412	0.0013845550430926382	-1235.9714384747974	-1194.111899416636	-1936.1225240140107	-73.73158119441631
58000	4.205836547592522	-4703.110991587608	-329.9071263041534	-4373.203865283454	19.354504909703877	209.17688688886582	292.7977448852436	19.253523365214832	34.46485360364844	11.154830735699534	1.0	1.0	8.0	2.0	8.0	7.967131279038484	0.6232671938690173	0.550793805109387	1.8259390010215946	0.0015358672240220292	-1236.3742771525317	-1189.4585423266108	-1947.3710458043124	-71.13058475201865
59000	5.261649019304727	-4700.698131590474	-329.0777105372597	-4371.620421053214	17.32401171919999	427.3188320040295	154.70683258004112	19.303182963501165	5.163116859792772	12.728452364971155	1.0	2.0	8.0	3.0	6.0	7.967131279038484	0.6041041518124516	0.5545294317668394	1.8413664164207078	0.0015944202033843352	-1235.0513183017238	-1193.9972580854535	-1942.5718446660364	-71.76592003654433
60000	6.702721736177949	-4703.795973855596	-324.44855776290336	-4379.347416092693	18.29056572301782	104.44856903037027	51.49842781509315	9.333687989052514	9.790609904425745	15.575097267426298	1.0	3.0	5.0	6.0	5.0	8.086003598891347	0.700101695472963	0.6902568965104863	1.609641408016549	0.0017099964250735047	-1239.917877117015	-1197.6539928426325	-1941.7755461330453	-71.03185226409262
61000	5.236499989502198	-4696.4769267618285	-321.84807983829313	-4374.628846923535	16.532701881092045	261.1813994705338	20.95564301786677	14.699904542920573	10.507057061516724	4.996483453502596	1.0	5.0	4.0	8.0	2.0	9.25490123341876	0.6921095779408766	0.46659003659423703	1.8413003854648844	0.001608964702224156	-1235.8018078257799	-1196.5497758580334	-1942.2772632397216	-68.17967321613264
62000	1.9195628972550858	-4695.17848189573	-320.8335172035182	-4374.344964692212	16.279663639682063	85.37203141599993	31.94034497252883	9.629577241907558	3.694461987786826	4.791156262533823	1.0	6.0	4.0	8.0	1.0	9.670644957345713	0.6438065709207721	0.6010160181238553	1.7551774109553706	0.001685491528952412	-1233.3149930595641	-1194.5170858982353	-1946.5128857344125	-70.02020810047478
63000	5.0844955188617185	-4696.276770244935	-320.5962730828364	-4375.680497162099	15.718770921551696	270.2882534102226	13.32289049889426	7.771199787925199	8.991843973554943	5.608850939298719	2.0	8.0	3.0	5.0	2.0	9.670644957345713	0.6322329255889033	0.45608834450994673	1.9116787299011482	0.0017897440122650516	-1237.9358422720986	-1195.6887953612975	-1942.0558595287023	-67.62003264618643
64000	2.721914308998775	-4693.889837782139	-321.7846207329021	-4372.105217049237	16.50704585891009	179.76824590754418	5.179318779684536	4.39318753069791	5.374622423849367	14.881121007035796	3.0	1.0	6.0	5.0	5.0	9.466013890685772	0.6312700679080043	0.480703906471202	1.8880260256207917	0.0019072966866677062	-1232.9485786982857	-1190.4881592427773	-1948.668479108173	-69.21944686302494
65000	2.8883375630688857	-4695.4428245079	-326.2698323869284	-4369.172992120972	19.78678625151705	90.96229239227281	15.12803535855884	10.101466229949999	8.865509148800678	9.453212105548182	5.0	5.0	2.0	1.0	7.0	7.835695567336998	0.7028157456208679	0.568215514612034	1.7289687397670963	0.0014993541920705266	-1232.643248956193	-1192.615343962106	-1943.9143992026725	-74.94236540156776
66000	5.572370331318439	-4690.909292347176	-320.868185925197	-4370.041106421979	16.712184488943894	75.49335949414886	9.81927504119806	16.10895846970408	5.251775217596366	11.454091455090962	4.0	5.0	2.0	7.0	2.0	9.467784487975134	0.6429450821600418	0.6280861780728602	1.7289687397670963	0.001879933110836917	-1233.8381519463662	-1193.2758185478117	-1942.927135927801	-68.71378061287226
67000	3.1210611594320703	-4698.27109504291	-325.9760970638946	-4372.2949979790155	16.848126112944147	49.94915837144686	5.054745707582947	41.22387598169267	10.355681238066511	8.831691331326715	3.0	3.0	3.0	9.0	2.0	9.574203460499843	0.5527304868895478	0.7098426306018721	1.7374268825085781	0.0021162855223285306	-1238.4190113273646	-1198.7002272169173	-1935.1757594347334	-68.59890488342627
68000	1.8547487701576633	-4691.718055014867	-321.962654519186	-4369.755400495681	16.74307001345717	250.3027582265826	29.896439517917017	4.127027243306326	12.486029469285828	7.598729606857483	2.0	2.0	1.0	14.0	1.0	10.76533205247429	0.524364802620411	0.60102615471971	1.8746090426598774	0.0018906054583100794	-1236.5865272514664	-1196.2210951960624	-1936.9477780481518	-67.0510715484773
69000	1.1059607545228722	-4693.74900997007	-323.1673376004732	-4370.581672369597	16.326868012539418	111.91012094507971	156.46167112110658	23.038515477674707	10.475120418729357	8.136751458719143	1.0	1.0	2.0	14.0	2.0	7.4488212680724395	0.5957234981899514	0.60102615471971	1.803250347090337	0.0019320902851759159	-1232.7742450927387	-1193.2169827553598	-1944.590444521498	-68.14960288774256
