# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(PEREGRINEFALCON_HK_D0028_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1833000	1.1706190873662186	-4668.085451029558	-304.9919552476508	-4363.093495781906	10.618172726574961	68.91685821736127	12.067842431710002	8.095011037888135	9.516623204823883	3.5644840684222108	2.0	3.0	2.0	3.0	10.0	11.234094085583106	0.6573104240029067	0.5523780784403761	1.7903114975567072	0.0034837669836723564	-1233.0174099587464	-1194.514910829515	-1935.5611749936452	-54.61779027184384
1834000	0.3015419986487764	-4671.682347131087	-308.3767902779523	-4363.3055568531345	10.522393487748008	336.2316989483241	12.734429582788767	1.5651288021616114	4.097413113925813	4.7798333999797	1.0	4.0	2.0	1.0	12.0	11.234094085583106	0.6051163927945864	0.6069341417936852	1.7879494654117183	0.00335725057761279	-1233.4291300140958	-1194.2134103568096	-1935.6630164822293	-55.71582523560138
1835000	0.9843456682423799	-4669.821277842268	-301.4606142546583	-4368.360663587609	10.429537353618231	34.89883748926836	7.858675663588778	14.488419025219402	7.867571334439638	4.8449332971883905	1.0	1.0	1.0	1.0	16.0	10.199314322596019	0.5446292256042503	0.6310708035109669	1.8242999708847727	0.003932360603937616	-1236.105085143911	-1194.721755965958	-1937.5338224777406	-51.74951949953028
1836000	1.278124906927129	-4659.402106315236	-296.81528302756766	-4362.586823287668	9.895319290515532	51.93619533996201	10.334172078270488	3.291389763816233	1.6047071200981582	3.0266017636729052	2.0	1.0	2.0	1.0	14.0	10.199314322596019	0.5787160714733388	0.5748213836874	1.8464625448392513	0.004071557811513736	-1234.9179275733134	-1193.7521509159856	-1933.9167447983689	-49.44361579420087
1837000	1.4855583379013257	-4659.479871573985	-294.19241478265843	-4365.287456791327	9.531930922202802	45.24590463562715	24.431951684491985	1.5322174464874916	0.8341776232657925	2.405210729178327	4.0	1.0	2.0	2.0	11.0	7.2971796497801975	0.6426262074434498	0.5762251659782485	1.7811486265782916	0.004377134515940188	-1236.8164681032144	-1192.2850113475763	-1936.1859773405356	-46.85044248708142
1838000	1.4873320919828612	-4656.704468838852	-295.118013426796	-4361.586455412056	9.745505733734284	186.32190442318387	31.688595856263678	1.1333178087689308	1.4642043028061467	1.8365289240711427	1.0	3.0	1.0	2.0	13.0	8.615623037805001	0.622560562542964	0.5487684204104089	1.8286710170466172	0.0042791466046511965	-1233.8771490903764	-1194.417444921477	-1933.291861400203	-45.536471030364886
1839000	1.3999716801518653	-4659.64467314377	-296.0703389360956	-4363.574334207674	10.281244817277983	45.33836352314828	25.385366446763378	8.041955058321836	4.24465743454325	1.2986505700517756	1.0	4.0	2.0	5.0	8.0	8.81664089685116	0.5357057080352404	0.6564269026327743	1.8078673893319754	0.004208447538232296	-1233.0903759086848	-1194.0160102389361	-1936.4679480600528	-47.53190769642188
1840000	1.6828060079388267	-4668.88106755718	-301.26080789079833	-4367.620259666382	10.434050503458693	26.962137442673033	13.509356386723333	9.017746942047214	11.7143425493295	1.0464158028591957	3.0	6.0	1.0	3.0	7.0	8.81664089685116	0.6649470376762631	0.5258507983091664	1.8092021640145608	0.0036530908098908557	-1236.177688126775	-1191.58919826782	-1939.8533732717872	-52.41647192938191
1841000	0.4082168770070833	-4665.892241530954	-303.055396827869	-4362.836844703085	11.832796643588303	51.83366207087779	19.245314296799894	19.17664281425974	3.596492726164722	3.0340102540800684	2.0	2.0	1.0	5.0	10.0	10.138915035099497	0.5638805534309315	0.5964098222736524	1.8397096242954063	0.003525985584103809	-1234.7543599071362	-1194.633574264383	-1933.448910531566	-52.99463755386825
1842000	2.8012804967110996	-4665.5245926464295	-301.71330770473975	-4363.811284941689	10.312056308274293	54.14930523774162	13.587915708619533	13.442696702102685	3.8436965265109353	2.260749386332556	2.0	2.0	3.0	3.0	10.0	10.754832292886343	0.5391226836979902	0.6080764893775709	1.852800826924429	0.003754393307346732	-1232.7046067270244	-1191.523164039495	-1939.5835141751697	-52.427552129
1843000	2.7122820276390733	-4663.1443536905235	-302.09497865750654	-4361.049375033017	10.491185597022854	51.83866048586408	23.98008140535987	21.181328399150313	11.246719744123265	1.288275810490205	1.0	3.0	2.0	4.0	10.0	9.954641654563753	0.5604272693368548	0.6286037799648809	1.810968950698254	0.0033240845566768424	-1231.2834672881045	-1189.1109319445338	-1940.6549758003782	-51.00033867147106
1844000	0.3951185564906474	-4672.372643952895	-304.8069409011893	-4367.565703051705	10.068799239453009	79.93021965551468	6.058001814391135	11.224590621299509	15.788632558141376	0.838906091986293	2.0	1.0	2.0	7.0	8.0	8.91497112717903	0.5694356662973847	0.6501417367751111	1.7804225969274938	0.0033223719214590277	-1231.6790357274424	-1193.2052718050693	-1942.6813955191938	-53.231225092927964
1845000	1.4572422675991792	-4662.488349345607	-300.9182033916403	-4361.570145953967	10.948716949530123	58.91491840634365	15.113614498589723	24.19244015914597	5.766372269525472	1.471632859861397	2.0	2.0	1.0	8.0	7.0	10.403130401168598	0.5959836056913015	0.6882572027857401	1.7157591915229482	0.0035924174334275834	-1232.4988403213156	-1193.179076803543	-1935.8922288291087	-50.160917531705614
1846000	1.8378715921744861	-4665.27533970695	-301.3625403282808	-4363.91279937867	9.574195318386767	138.14943140491	16.054602418316406	5.534644893396916	5.083483573396274	0.7239861825664841	2.0	2.0	1.0	9.0	6.0	10.180275134719166	0.5840992801139978	0.5453317552662846	1.8705689646197072	0.0036814483621565447	-1231.889039775013	-1193.0394490845063	-1938.9843105191505	-51.29203324146468
1847000	1.153476868195312	-4663.646640890453	-298.31402321664996	-4365.332617673804	10.304581658946967	178.4945451891291	9.673050135423939	2.5210836160392573	2.849509503594668	0.8956386805580258	2.0	3.0	3.0	10.0	2.0	9.289378060857041	0.6733117151706712	0.47728914642222403	1.8493991384070942	0.0032765640976529383	-1236.495697468755	-1190.283258741595	-1938.5536614634539	-49.45693980384886
1848000	1.8327152175384613	-4673.010987947104	-305.70379759621534	-4367.307190350888	10.260136032307544	40.71203003502662	161.31499538144035	7.083922824032749	3.592401376523283	1.0282881618595847	3.0	1.0	6.0	7.0	3.0	9.289378060857041	0.5539665452481405	0.5162152231524589	1.92981823159939	0.003240056708294887	-1237.7384657194978	-1195.177190360073	-1934.391534271317	-52.68374584083518
1849000	2.4589947171254103	-4660.539111214038	-299.847433053207	-4360.691678160831	10.604086107793485	56.58033042755836	25.2451685989928	4.781959936269902	1.9271624655501496	2.202162135504688	3.0	1.0	4.0	10.0	2.0	9.311549347928354	0.6052053869758038	0.5925843369633532	1.8022102760608323	0.0035918157356831333	-1232.5567322137783	-1192.1023131805448	-1936.0326327665077	-51.655504406859734
1850000	2.1738576394234377	-4671.2683332007355	-307.86666880324253	-4363.401664397493	11.993686636034477	21.132330123651236	25.058714480104914	21.733560955322	5.202291569256647	2.2558820702341764	1.0	5.0	1.0	9.0	4.0	7.727650386560111	0.6802086248793688	0.488910009799266	1.8308813653213543	0.003265209507717567	-1232.6721030157	-1190.3958705108414	-1940.3336908709518	-58.78646342988634
1851000	2.1268999286718406	-4670.9096129955515	-304.66614930551646	-4366.243463690035	11.323750875618648	34.18746212489792	21.70449135247419	10.626194522072588	4.217562076830978	1.8730504643504178	1.0	8.0	1.0	3.0	7.0	8.314847271877271	0.7651743434688221	0.5146941816941268	1.7201314748370398	0.0030900366499827902	-1234.750444263696	-1189.3010658728122	-1942.1919535535274	-56.38031888579899
1852000	1.581434803219592	-4661.684914090861	-295.7378213234832	-4365.947092767377	10.995123206754279	36.28694063107269	7.1041666752521575	1.365512639699166	3.2709815131262787	1.0717795530823724	1.0	9.0	2.0	2.0	6.0	9.524516813500735	0.5970602018950671	0.4905662523412857	1.9123735457636357	0.003692291553105233	-1233.976550669249	-1192.103312241917	-1939.8672298562112	-49.47414828644335
1853000	1.7492388795500817	-4657.5278098659865	-293.6736298231215	-4363.854180042865	10.646832431330294	37.64798096694909	6.442879398093828	0.9166920894893045	1.2045852877652474	1.0728778735840636	2.0	8.0	1.0	6.0	3.0	7.918982040460814	0.5565487801947757	0.5726194233028672	1.8708317965023458	0.0035635728096882254	-1232.4140942909835	-1191.639603071467	-1939.8004826804142	-49.60903906903404
