# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153560927]
state	age(DUCK_VIETNAM_376_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1844000	0.6738062342683282	-4664.959492318619	-293.0666515368937	-4371.892840781725	9.842317921608723	26.787504652034293	4.431587384810535	2.0196983178829546	0.7596099606701079	1.210817440542999	4.0	9.0	2.0	4.0	1.0	9.74178189412988	0.5502484187735677	0.7280062762034439	1.7217453050229992	0.003783355875083878	-1234.4948988086242	-1190.0496690416799	-1947.3482729314208	-49.44780630138915
1845000	0.3914174951450988	-4660.299408714612	-290.9801735136323	-4369.319235200979	9.195662121411857	19.87831203182055	5.045095179281197	0.6314443474125621	0.9421010038646258	1.2999576756237246	4.0	6.0	3.0	5.0	2.0	9.692480619687375	0.5788218350226382	0.6055388570716334	1.8156393079057394	0.0046835023572361755	-1236.2087556100419	-1193.9867136967484	-1939.123765894189	-48.12124049121922
1846000	0.29390221547076734	-4658.041110447864	-292.58035095819304	-4365.460759489672	10.011005405897436	17.843713755848746	4.012867743915686	3.5240347291327176	0.6816554547973511	0.9140332187432905	3.0	9.0	3.0	3.0	2.0	8.25893171194943	0.6449006407094167	0.5509238383258048	1.8041755209647894	0.0038759945529253624	-1235.7779750059776	-1193.926087947048	-1935.7566965366454	-49.54395628752589
1847000	0.022648632944676006	-4662.806229590451	-292.4907855054662	-4370.315444084985	8.856025342559098	26.656695736342762	3.808581258344321	3.494859020101241	2.385371596208136	2.274931014507261	2.0	9.0	3.0	5.0	1.0	11.641643016883704	0.6262593281648176	0.4684720499535468	1.9052686218816466	0.004471356613832213	-1239.5570394847941	-1193.895744410254	-1936.862660189937	-47.056961257748284
1848000	0.4267157679392517	-4666.306099527707	-295.2655944827882	-4371.040505044919	9.979962563714741	23.490972042345263	17.018981894781373	2.0997849626064498	2.293289939634079	1.002097048240114	1.0	5.0	4.0	3.0	7.0	9.35003738109445	0.6856903302562974	0.6613405136973458	1.6529691560463677	0.00427718252868759	-1236.699791315919	-1194.8535217092033	-1939.487192019797	-49.67532762330237
1849000	0.11988502136152102	-4661.084523074886	-296.81252226390376	-4364.272000810983	9.787587594349015	37.72459782008201	7.348097612893856	6.047890192156257	2.3020452034201817	1.1004586428996874	6.0	1.0	5.0	2.0	6.0	9.35003738109445	0.711421378899626	0.4631443568076154	1.8254342642927697	0.004676843763691214	-1233.159164680727	-1192.9680736230655	-1938.144762507191	-50.553549879523445
1850000	0.14924035870851915	-4656.187058904465	-292.65423467293675	-4363.532824231528	10.00446154304894	21.62192279062124	3.157417111022541	2.043159545418496	1.7894908516547656	0.6004795750146226	4.0	1.0	6.0	8.0	1.0	7.46304998149056	0.5918964234880398	0.6107371050025577	1.7973664715094133	0.003733686821793926	-1234.6462716576614	-1192.2454311485496	-1936.6411214253174	-49.78763215040439
1851000	0.38644124806071156	-4661.74081452914	-295.5653998761817	-4366.175414652958	9.360109074526402	16.762071487802647	6.936310303575371	3.370876772116748	2.416961473625522	3.6500396881944157	5.0	1.0	5.0	8.0	1.0	8.7718371577761	0.8184365339586432	0.5418768813340678	1.6396865847073	0.004460436634937275	-1236.8534742513473	-1192.82764270081	-1936.494297700801	-50.33567785485647
1852000	0.07099371636728824	-4651.523158890433	-284.83367299801023	-4366.689485892422	8.986032446419744	20.71105608519261	3.069468331410838	2.4096030430221886	0.5177656141782286	0.3000090225105714	5.0	1.0	10.0	1.0	3.0	9.54255153358506	0.6574529132249858	0.5879499807356261	1.7545971060393992	0.005024422881350853	-1236.8222733195598	-1195.2411932353746	-1934.626019337488	-43.187800342799754
1853000	0.3206309290749898	-4653.652096331851	-283.82864395760805	-4369.823452374243	8.775390900970935	107.5516934138827	3.287991903303235	3.541197017763195	0.7037938637404513	0.35754251739281717	2.0	9.0	3.0	4.0	2.0	9.00750075303766	0.5227982181435438	0.6425244947884071	1.8346772870680603	0.005297680356369285	-1235.5030990941905	-1194.4313330933305	-1939.8890201867218	-38.098315173134125
