# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532166]
state	age(HUMAN_VIETNAM_CL105_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
706000	0.334639972787673	-4664.569151327932	-294.4909101899747	-4370.078241137957	10.06305419047725	22.07153137397455	8.555937736637935	0.776188262037151	0.7384289529862785	1.1109109383662932	5.0	5.0	1.0	2.0	7.0	9.47938643635381	0.7021711082096382	0.49025923252563436	1.807569659264721	0.00357136195911446	-1232.4743392871255	-1195.242278232353	-1942.3616236184782	-51.27052618761309
707000	0.561579234555051	-4667.150461013655	-300.06055484711413	-4367.089906166541	9.689145945450045	13.248311921627652	19.775572855242007	1.979762095399893	4.460586601123311	0.7560063389511674	6.0	5.0	1.0	2.0	6.0	9.069543819300126	0.7499701966230209	0.5480568345163105	1.7019729688606622	0.004103069994249336	-1236.0323043636054	-1191.6652695431915	-1939.3923322597445	-53.251303031130504
708000	0.1662874621766477	-4665.39442641925	-301.14557441625675	-4364.248852002993	10.133852128418848	28.893901659994242	10.49334311814465	12.890231205862266	2.8729625919293404	0.9784431877149349	8.0	3.0	2.0	2.0	5.0	10.34036157648081	0.5964561118318746	0.5353995610404351	1.8681443271276839	0.0042001518072468805	-1235.6169099731771	-1190.892256162615	-1937.739685867201	-53.70615814837748
709000	1.013381508529136	-4658.1231811590105	-290.9534323355352	-4367.169748823475	9.17554148188107	24.480190640436366	1.584508039656991	4.8117887780960835	3.4496808642520604	0.5759315615435096	6.0	5.0	1.0	2.0	6.0	6.890956245823359	0.6062141371329448	0.584865659868381	1.808920202998668	0.004369441376093968	-1235.8906512490164	-1196.7105863204356	-1934.568511254023	-45.11398761814056
710000	0.5538062069820029	-4660.610372334857	-292.523448498879	-4368.086923835978	9.059543557238229	23.330102088821025	10.587012982260374	4.343495193376283	2.855972965688867	0.6591605948246307	1.0	5.0	5.0	1.0	8.0	8.888382025606935	0.6683817412837202	0.5366179496898634	1.7950003090264102	0.004247332937020408	-1233.9253533069195	-1192.2076643718456	-1941.953906157213	-47.15059745168401
711000	0.337291537245354	-4657.489269633774	-292.52119917746904	-4364.968070456304	9.681938382671994	17.90149519414128	7.746096274059632	0.8437395695149703	1.2886390056387893	0.6324257512467536	3.0	10.0	1.0	1.0	5.0	12.594511436342192	0.5651980837202414	0.4884193981224362	1.9463825181573162	0.003936698945750958	-1234.3009915142472	-1193.3590237954786	-1937.308055146578	-49.2690998505506
712000	0.0711503915763343	-4662.0253645575685	-298.5226704514912	-4363.502694106077	10.007075468403805	11.112783034365199	10.581748507558043	4.078871142811577	2.1183214374654806	1.2165781489414564	6.0	6.0	1.0	4.0	3.0	7.916983191181759	0.6677347073062646	0.4929039973043316	1.8393612953893974	0.0039047539298333795	-1231.532555350118	-1190.0634086934642	-1941.9067300624952	-54.4320544222549
713000	0.5225495224595256	-4660.316485638159	-291.54198003833557	-4368.774505599824	8.831971882402048	43.566688949152024	5.54260486723795	1.609145207716479	0.7352222584073514	0.9044020076581509	4.0	6.0	3.0	3.0	4.0	8.845519393728836	0.5888885753090196	0.591124292885562	1.8199871318054124	0.003992713849284062	-1232.1204504110776	-1194.7636459401688	-1941.8904092485768	-47.569835347170795
714000	0.7198455466686846	-4660.989919076513	-296.10175270112114	-4364.888166375392	9.623973954684462	26.880165621287034	19.051868493068433	3.373013085927878	0.9288136368714532	4.501238306818908	4.0	2.0	7.0	6.0	1.0	8.680058704022278	0.6632625054123286	0.5728681646581597	1.7638693299295056	0.004923164389862631	-1233.3257870304813	-1194.5566448278132	-1937.0057345170974	-47.002909641615936
715000	0.6292806744463175	-4655.75235592734	-289.2640484411176	-4366.488307486223	8.844821743249089	8.688449500133757	2.35585192300457	4.98244586519826	1.0928242481704524	0.6441243615013563	5.0	4.0	3.0	7.0	1.0	8.138301786820934	0.6197097945432062	0.5834490396342321	1.7968411658225556	0.0045995505356201255	-1235.8198884340761	-1195.759865200615	-1934.908553851532	-46.838561656512056
716000	0.5067397076793494	-4668.116130486046	-292.81829533073545	-4375.297835155311	9.445637966925133	37.48514623588791	5.104938909813555	4.513838460738259	1.512437023758807	1.0390322673511991	6.0	2.0	3.0	7.0	2.0	5.357007700526314	0.6456421414339905	0.5288781634667812	1.8254796950992223	0.005252459813849257	-1237.665502105087	-1197.317140025054	-1940.3151930251702	-48.03995778672355
717000	0.7311704565616624	-4662.014771667354	-292.4822671289104	-4369.532504538443	8.31061074164364	16.545009911528805	12.018842058952687	9.488346564963498	1.7852763141834487	0.8638971072935027	1.0	3.0	5.0	2.0	9.0	7.351516822221453	0.6191242267405657	0.6073362699012641	1.7735395033581642	0.0048475306315789776	-1231.7358296092318	-1190.754925879647	-1947.0417490495652	-47.112624217254535
718000	0.5586802748460857	-4664.332347279154	-294.25359412274577	-4370.078753156408	8.342614571672982	40.530695402518596	5.045873166476	8.756741770924496	9.036371246635344	1.645910648204994	1.0	1.0	4.0	7.0	7.0	7.9378533715151836	0.6880658192586597	0.46588978713843676	1.8460443936028974	0.005025472670824757	-1235.9961284602534	-1193.306367794819	-1940.776256901336	-45.45567297119013
719000	0.15529855425768213	-4666.197143001708	-297.57738761428186	-4368.619755387426	9.371795614546052	175.91700744251682	47.22425783042524	9.03828249180187	3.0341782615093407	0.5492826681886478	1.0	1.0	3.0	9.0	6.0	8.510692895614504	0.5821612164844173	0.6923250891496355	1.725513694365941	0.005333151059133845	-1231.5211296580003	-1195.389490067067	-1941.7091356623591	-46.694641139898856
720000	0.5307363385973398	-4654.082399847468	-290.05775211767013	-4364.024647729798	8.992852500930477	45.02494892215914	2.624509194586824	3.884220391762719	2.9078156516203943	1.1690012831671819	4.0	4.0	2.0	3.0	7.0	9.363663139517572	0.6658654575282688	0.555447265154113	1.7786872773176121	0.005316301537080443	-1233.8322571787892	-1196.031795273395	-1934.1605952776135	-43.869841386794285
721000	0.1765160146282807	-4660.247830111221	-290.7060127816146	-4369.541817329607	8.62033515666911	20.32977565141507	15.540049456073648	5.563061389028036	1.454597552799228	0.630257149467976	7.0	1.0	3.0	3.0	6.0	9.370195791807925	0.7049773634608125	0.46301273359502154	1.8320099029441599	0.004577760677306698	-1233.331423610323	-1196.2805076387954	-1939.9298860804884	-45.534356688713686
722000	0.2093402177151007	-4651.712124627289	-282.9878877632356	-4368.724236864054	8.28423255649659	8.690752325284532	4.516534124703565	1.161031519376966	0.5041726707664854	0.4391324969175555	6.0	4.0	2.0	4.0	4.0	7.923413352072718	0.7044490875491423	0.48630866685899377	1.809242245591858	0.005088564911045882	-1231.111000674782	-1194.8327476437357	-1942.7804885455362	-43.280821606328324
723000	0.41164647899788775	-4658.01826047234	-285.3607674092247	-4372.657493063116	8.307326152404713	20.92996023816435	3.5793707109147768	2.1515501891375948	0.6258396823435364	0.17447872271408976	6.0	6.0	6.0	1.0	1.0	10.485752767854022	0.6111887937176077	0.683800973089913	1.7050102331924732	0.00542714002580283	-1239.28275802009	-1193.8476772302843	-1939.527057812742	-43.75537897784312
724000	0.546801568879685	-4657.368427676699	-289.5714599358726	-4367.796967740826	8.46205467951859	50.41290379529529	3.892798023724362	2.5465995830296277	0.5544332458516207	0.168773152860005	3.0	6.0	7.0	2.0	2.0	9.095056325187706	0.5917575307200862	0.5997257977479324	1.808516671531975	0.004422343644959229	-1235.1896840910103	-1193.824932627209	-1938.7823510226071	-46.307124659460655
