# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:12 BST 2015 [seed=1430153530994]
state	age(SWINE_ANHUI_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2134000	1.0258806256679414	-4673.859358539262	-305.7995617341048	-4368.059796805157	10.366110467689312	233.88099388635726	93.6344692629149	16.802462636465926	13.575982937207506	1.3400649793198605	1.0	1.0	6.0	2.0	10.0	8.729028359099296	0.5125494513434286	0.5297325854300667	1.9577179632264996	0.003774156255446632	-1237.3318871796657	-1191.800405741679	-1938.9275038838123	-51.00906462677647
2135000	1.526375752176766	-4676.589358325207	-303.75333519550907	-4372.836023129698	10.367290858509236	41.31969046526758	34.560706418414654	54.48617652887766	1.9119582107587496	1.8920824115829844	3.0	2.0	1.0	4.0	10.0	8.739649861121887	0.5557065851579723	0.6493766832054181	1.7949167316366046	0.003800791514566774	-1236.676742410322	-1199.6680297805453	-1936.4912509388312	-52.25783232658922
2136000	0.5259648208698948	-4666.510916334465	-297.5599861042376	-4368.950930230228	10.437984781228073	23.93248087391832	11.979716694790564	3.388794071645542	3.731385128746438	0.9713826814921515	3.0	2.0	2.0	7.0	6.0	11.164970729341876	0.5713690104403916	0.5406695528987926	1.8879614366608108	0.0034171736412688587	-1233.8326023952686	-1194.8740559872526	-1940.2442718477064	-51.37289016687376
2137000	0.8628362710597294	-4674.52908251477	-306.79062841886605	-4367.738454095905	10.627028451033016	37.624430963932184	7.439269821706913	4.1339610783591905	2.425686091772788	5.390316789292823	7.0	3.0	6.0	3.0	1.0	9.14939460529632	0.6272855937988879	0.5861168727622448	1.7865975334388622	0.00342177094559105	-1234.8254618530511	-1193.6754470925066	-1939.2375451503467	-59.18862937564653
2138000	0.5228542142358668	-4670.621248349536	-305.6506288973839	-4364.970619452151	11.753134404117617	13.60538620970771	7.392755271680726	3.2903746082283893	1.5565610132921945	3.7644710484259623	5.0	5.0	2.0	7.0	1.0	8.665508921208163	0.5334260649479465	0.5700810985830312	1.8964928364690175	0.003075123690273078	-1232.3363790101635	-1192.60522391042	-1940.0290165315685	-60.49788700327487
2139000	1.5578926091208452	-4679.232051248857	-312.65857483680895	-4366.573476412048	12.525680030322764	189.9233560478171	6.549182788717212	13.844739009849386	4.295942296929959	2.434383264748343	1.0	5.0	1.0	9.0	4.0	8.37435842818076	0.5827786055146711	0.5896268845882908	1.8275945098970334	0.0027043955554215985	-1231.451968852698	-1193.77435707312	-1941.3471504862302	-60.79132111459041
2140000	0.5792856856539057	-4675.806590468933	-308.07896146511064	-4367.727629003823	12.75434765010854	119.78612313631082	11.464570697568368	5.177536986143051	1.8863406061264092	0.6679348372120691	1.0	8.0	3.0	7.0	1.0	7.578883687853576	0.6692846604738383	0.44916652765000664	1.88154881187615	0.003110185675869791	-1234.1684211087672	-1192.1574871398936	-1941.4017207551613	-60.239698340658435
2141000	0.24864851861658765	-4657.755167701647	-296.28575473367573	-4361.469412967972	11.743850046798869	34.01696457281419	5.365223255429856	3.9103199587493997	0.9363617222085906	1.4622385450195152	2.0	11.0	4.0	1.0	2.0	7.859926099585969	0.6305069579168175	0.5889092728943462	1.780583769188831	0.0034805397969050723	-1235.1446971052583	-1191.6243593743848	-1934.7003564883294	-51.24632040681219
2142000	0.019365536510630055	-4662.534715471179	-292.0474710797271	-4370.487244391452	9.817475384493584	21.15037589728726	2.97312610097884	5.3741822822844805	2.7682826360370125	0.9744936492737164	3.0	6.0	1.0	4.0	6.0	9.302573981967832	0.6183887722854187	0.46663034907456447	1.9149808786400115	0.004150406518356057	-1234.5713107919191	-1194.3402685793183	-1941.575665020215	-46.85062182671847
2143000	0.4464110634535574	-4653.864525757247	-288.5996171488838	-4365.264908608363	8.828289472149365	14.901907566823152	4.120562142574298	5.833859499022094	0.6258172321099517	0.7069479762090057	3.0	6.0	4.0	1.0	6.0	9.302573981967832	0.663472535979166	0.523718781431777	1.8128086825890517	0.004312015155228575	-1236.6834275061715	-1192.7534668255455	-1935.8280142766462	-45.0676492930131
2144000	0.380742831697777	-4660.558046027607	-294.1357221540368	-4366.42232387357	10.153639890673999	42.850127446919416	1.5368401206526696	5.043474809763614	0.7398267452357782	0.9550658276390699	6.0	2.0	5.0	3.0	4.0	7.784653529378307	0.663472535979166	0.5693551067580088	1.76717235726282	0.00403954045999254	-1236.011254244502	-1194.285473364357	-1936.125596264712	-47.807952436265246
2145000	0.5251545291509165	-4656.481119119029	-294.40106616166463	-4362.080052957364	9.640474508405392	28.36868871572877	4.115705338181803	6.05602946063014	4.547204942593702	1.1941635982907766	5.0	3.0	3.0	2.0	7.0	7.784653529378307	0.5866193298217888	0.5746523149127893	1.8387283552654168	0.003915406657295092	-1233.2065620610706	-1193.0740355390008	-1935.7994553572935	-48.03945943794817
2146000	0.5251545291509165	-4674.568295681655	-295.6039373914799	-4378.964358290175	9.00909084833006	110.13776950712045	9.145514115458294	1.2547830572161034	1.827177552663885	3.015058090181076	2.0	1.0	1.0	3.0	13.0	7.9043117294429655	0.7406281730454555	0.5497226178030702	1.7096492091514692	0.004451370768185382	-1232.1762242377006	-1190.4674343780202	-1956.3206996744552	-47.50503009286921
2147000	0.45562938157934596	-4654.21174415832	-287.7274335869972	-4366.484310571323	9.49656951467701	94.03769441189084	8.255525527199206	5.212998989471278	3.356163376532187	1.0824546559888433	1.0	3.0	2.0	7.0	7.0	9.077083251909542	0.5292053863165251	0.5599209698283703	1.9108736438550997	0.004135239122447244	-1238.700269718213	-1192.8051583941954	-1934.978882458914	-39.51736412189775
